Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
12	-274	76	3134	12	-274	76	3134	12	-274	76	3134	12	-274	76	3134	12	-274	76	3134	12	-274	76	3134	12	-274	76	3134	12	-274	76	3134	12	-274	76	3134	12	-274	76	3134	12	-274	76	3134	12	-274	76	3134	12	-274	76	3134	12	-274	76	3134	12	-274	76	3134	12	-274	76	3134	12	-274	76	3134	12	-274	76	3134	12	-274	76	3134
13	-97	97	3231	13	-97	97	3231	13	-97	97	3231	13	-97	97	3231	13	-97	97	3231	13	-97	97	3231	13	-97	97	3231	13	-97	97	3231	13	-97	97	3231	13	-97	97	3231	13	-97	97	3231	13	-97	97	3231	13	-97	97	3231	13	-97	97	3231	13	-97	97	3231	13	-97	97	3231	13	-97	97	3231	13	-97	97	3231	13	-97	97	3231
14	-929	335	3566	14	-929	335	3566	14	-929	335	3566	14	-929	335	3566	14	-929	335	3566	14	-929	335	3566	14	-929	335	3566	14	-929	335	3566	14	-929	335	3566	14	-929	335	3566	14	-929	335	3566	14	-929	335	3566	14	-929	335	3566	14	-929	335	3566	14	-929	335	3566	14	-929	335	3566	14	-929	335	3566	14	-929	335	3566	14	-929	335	3566
15	-38	38	3604	15	-38	38	3604	15	-38	38	3604	15	-38	38	3604	15	-38	38	3604	15	-38	38	3604	15	-38	38	3604	15	-38	38	3604	15	-38	38	3604	15	-38	38	3604	15	-38	38	3604	15	-38	38	3604	15	-38	38	3604	15	-38	38	3604	15	-38	38	3604	15	-38	38	3604	15	-38	38	3604	15	-38	38	3604	15	-38	38	3604
16	-47	47	3651	16	-47	47	3651	16	-47	47	3651	16	-47	47	3651	16	-47	47	3651	16	-47	47	3651	16	-47	47	3651	16	-47	47	3651	16	-47	47	3651	16	-47	47	3651	16	-47	47	3651	16	-47	47	3651	16	-47	47	3651	16	-47	47	3651	16	-47	47	3651	16	-47	47	3651	16	-47	47	3651	16	-47	47	3651	16	-47	47	3651
17	-103	103	3754	17	-103	103	3754	17	-103	103	3754	17	-103	103	3754	17	-103	103	3754	17	-103	103	3754	17	-103	103	3754	17	-103	103	3754	17	-103	103	3754	17	-103	103	3754	17	-103	103	3754	17	-103	103	3754	17	-103	103	3754	17	-103	103	3754	17	-103	103	3754	17	-103	103	3754	17	-103	103	3754	17	-103	103	3754	17	-103	103	3754
18	-124	124	3878	18	-124	124	3878	18	-124	124	3878	18	-124	124	3878	18	-124	124	3878	18	-124	124	3878	18	-124	124	3878	18	-124	124	3878	18	-124	124	3878	18	-124	124	3878	18	-124	124	3878	18	-124	124	3878	18	-124	124	3878	18	-124	124	3878	18	-124	124	3878	18	-124	124	3878	18	-124	124	3878	18	-124	124	3878	18	-124	124	3878
19	-56	56	3934	19	-56	56	3934	19	-56	56	3934	19	-56	56	3934	19	-56	56	3934	19	-56	56	3934	19	-56	56	3934	19	-56	56	3934	19	-56	56	3934	19	-56	56	3934	19	-56	56	3934	19	-56	56	3934	19	-56	56	3934	19	-56	56	3934	19	-56	56	3934	19	-56	56	3934	19	-56	56	3934	19	-56	56	3934	19	-56	56	3934
20	-77	77	4011	20	-77	77	4011	20	-77	77	4011	20	-77	77	4011	20	-77	77	4011	20	-77	77	4011	20	-77	77	4011	20	-77	77	4011	20	-77	77	4011	20	-77	77	4011	20	-77	77	4011	20	-77	77	4011	20	-77	77	4011	20	-77	77	4011	20	-77	77	4011	20	-77	77	4011	20	-77	77	4011	20	-77	77	4011	20	-77	77	4011
21	-90	90	4101	21	-90	90	4101	21	-90	90	4101	21	-90	90	4101	21	-90	90	4101	21	-90	90	4101	21	-90	90	4101	21	-90	90	4101	21	-90	90	4101	21	-90	90	4101	21	-90	90	4101	21	-90	90	4101	21	-90	90	4101	21	-90	90	4101	21	-90	90	4101	21	-90	90	4101	21	-90	90	4101	21	-90	90	4101	21	-90	90	4101
22	-147	48	4149	22	-147	48	4149	22	-147	48	4149	22	-147	48	4149	22	-147	48	4149	22	-147	48	4149	22	-147	48	4149	22	-147	48	4149	22	-147	48	4149	22	-147	48	4149	22	-147	48	4149	22	-147	48	4149	22	-147	48	4149	22	-147	48	4149	22	-147	48	4149	22	-147	48	4149	22	-147	48	4149	22	-147	48	4149	22	-147	48	4149
23	-63	63	4212	23	-63	63	4212	23	-63	63	4212	23	-63	63	4212	23	-63	63	4212	23	-63	63	4212	23	-63	63	4212	23	-63	63	4212	23	-63	63	4212	23	-63	63	4212	23	-63	63	4212	23	-63	63	4212	23	-63	63	4212	23	-63	63	4212	23	-63	63	4212	23	-63	63	4212	23	-63	63	4212	23	-63	63	4212	23	-63	63	4212
24	-193	94	4306	24	-193	94	4306	24	-193	94	4306	24	-193	94	4306	24	-193	94	4306	24	-193	94	4306	24	-193	94	4306	24	-193	94	4306	24	-193	94	4306	24	-193	94	4306	24	-193	94	4306	24	-193	94	4306	24	-193	94	4306	24	-193	94	4306	24	-193	94	4306	24	-193	94	4306	24	-193	94	4306	24	-193	94	4306	24	-193	94	4306
25	-59	59	4365	25	-59	59	4365	25	-59	59	4365	25	-59	59	4365	25	-59	59	4365	25	-59	59	4365	25	-59	59	4365	25	-59	59	4365	25	-59	59	4365	25	-59	59	4365	25	-59	59	4365	25	-59	59	4365	25	-59	59	4365	25	-59	59	4365	25	-59	59	4365	25	-59	59	4365	25	-59	59	4365	25	-59	59	4365	25	-59	59	4365
26	-213	114	4479	26	-213	114	4479	26	-213	114	4479	26	-213	114	4479	26	-213	114	4479	26	-213	114	4479	26	-213	114	4479	26	-213	114	4479	26	-213	114	4479	26	-213	114	4479	26	-213	114	4479	26	-213	114	4479	26	-213	114	4479	26	-213	114	4479	26	-213	114	4479	26	-213	114	4479	26	-213	114	4479	26	-213	114	4479	26	-213	114	4479
27	-426	129	4608	27	-426	129	4608	27	-426	129	4608	27	-426	129	4608	27	-426	129	4608	27	-426	129	4608	27	-426	129	4608	27	-426	129	4608	27	-426	129	4608	27	-426	129	4608	27	-426	129	4608	27	-426	129	4608	27	-426	129	4608	27	-426	129	4608	27	-426	129	4608	27	-426	129	4608	27	-426	129	4608	27	-426	129	4608	27	-426	129	4608
28	-143	44	4652	28	-143	44	4652	28	-143	44	4652	28	-143	44	4652	28	-143	44	4652	28	-143	44	4652	28	-143	44	4652	28	-143	44	4652	28	-143	44	4652	28	-143	44	4652	28	-143	44	4652	28	-143	44	4652	28	-143	44	4652	28	-143	44	4652	28	-143	44	4652	28	-143	44	4652	28	-143	44	4652	28	-143	44	4652	28	-143	44	4652
29	-198	99	4751	29	-198	99	4751	29	-198	99	4751	29	-198	99	4751	29	-198	99	4751	29	-198	99	4751	29	-198	99	4751	29	-198	99	4751	29	-198	99	4751	29	-198	99	4751	29	-198	99	4751	29	-198	99	4751	29	-198	99	4751	29	-198	99	4751	29	-198	99	4751	29	-198	99	4751	29	-198	99	4751	29	-198	99	4751	29	-198	99	4751
30	-56	56	4807	30	-56	56	4807	30	-56	56	4807	30	-56	56	4807	30	-56	56	4807	30	-56	56	4807	30	-56	56	4807	30	-56	56	4807	30	-56	56	4807	30	-56	56	4807	30	-56	56	4807	30	-56	56	4807	30	-56	56	4807	30	-56	56	4807	30	-56	56	4807	30	-56	56	4807	30	-56	56	4807	30	-56	56	4807	30	-56	56	4807
31	-94	94	4901	31	-94	94	4901	31	-94	94	4901	31	-94	94	4901	31	-94	94	4901	31	-94	94	4901	31	-94	94	4901	31	-94	94	4901	31	-94	94	4901	31	-94	94	4901	31	-94	94	4901	31	-94	94	4901	31	-94	94	4901	31	-94	94	4901	31	-94	94	4901	31	-94	94	4901	31	-94	94	4901	31	-94	94	4901	31	-94	94	4901
32	-34	34	4935	32	-34	34	4935	32	-34	34	4935	32	-34	34	4935	32	-34	34	4935	32	-34	34	4935	32	-34	34	4935	32	-34	34	4935	32	-34	34	4935	32	-34	34	4935	32	-34	34	4935	32	-34	34	4935	32	-34	34	4935	32	-34	34	4935	32	-34	34	4935	32	-34	34	4935	32	-34	34	4935	32	-34	34	4935	32	-34	34	4935
33	-78	78	5013	33	-78	78	5013	33	-78	78	5013	33	-78	78	5013	33	-78	78	5013	33	-78	78	5013	33	-78	78	5013	33	-78	78	5013	33	-78	78	5013	33	-78	78	5013	33	-78	78	5013	33	-78	78	5013	33	-78	78	5013	33	-78	78	5013	33	-78	78	5013	33	-78	78	5013	33	-78	78	5013	33	-78	78	5013	33	-78	78	5013
34	-43	43	5056	34	-43	43	5056	34	-43	43	5056	34	-43	43	5056	34	-43	43	5056	34	-43	43	5056	34	-43	43	5056	34	-43	43	5056	34	-43	43	5056	34	-43	43	5056	34	-43	43	5056	34	-43	43	5056	34	-43	43	5056	34	-43	43	5056	34	-43	43	5056	34	-43	43	5056	34	-43	43	5056	34	-43	43	5056	34	-43	43	5056
35	-202	103	5159	35	-202	103	5159	35	-202	103	5159	35	-202	103	5159	35	-202	103	5159	35	-202	103	5159	35	-202	103	5159	35	-202	103	5159	35	-202	103	5159	35	-202	103	5159	35	-202	103	5159	35	-202	103	5159	35	-202	103	5159	35	-202	103	5159	35	-202	103	5159	35	-202	103	5159	35	-202	103	5159	35	-202	103	5159	35	-202	103	5159
36	-143	44	5203	36	-143	44	5203	36	-143	44	5203	36	-143	44	5203	36	-143	44	5203	36	-143	44	5203	36	-143	44	5203	36	-143	44	5203	36	-143	44	5203	36	-143	44	5203	36	-143	44	5203	36	-143	44	5203	36	-143	44	5203	36	-143	44	5203	36	-143	44	5203	36	-143	44	5203	36	-143	44	5203	36	-143	44	5203	36	-143	44	5203
37	-66	66	5269	37	-66	66	5269	37	-66	66	5269	37	-66	66	5269	37	-66	66	5269	37	-66	66	5269	37	-66	66	5269	37	-66	66	5269	37	-66	66	5269	37	-66	66	5269	37	-66	66	5269	37	-66	66	5269	37	-66	66	5269	37	-66	66	5269	37	-66	66	5269	37	-66	66	5269	37	-66	66	5269	37	-66	66	5269	37	-66	66	5269
38	-448	151	5420	38	-448	151	5420	38	-448	151	5420	38	-448	151	5420	38	-448	151	5420	38	-448	151	5420	38	-448	151	5420	38	-448	151	5420	38	-448	151	5420	38	-448	151	5420	38	-448	151	5420	38	-448	151	5420	38	-448	151	5420	38	-448	151	5420	38	-448	151	5420	38	-448	151	5420	38	-448	151	5420	38	-448	151	5420	38	-448	151	5420
39	-66	66	5486	39	-66	66	5486	39	-66	66	5486	39	-66	66	5486	39	-66	66	5486	39	-66	66	5486	39	-66	66	5486	39	-66	66	5486	39	-66	66	5486	39	-66	66	5486	39	-66	66	5486	39	-66	66	5486	39	-66	66	5486	39	-66	66	5486	39	-66	66	5486	39	-66	66	5486	39	-66	66	5486	39	-66	66	5486	39	-66	66	5486
40	-308	110	5596	40	-308	110	5596	40	-308	110	5596	40	-308	110	5596	40	-308	110	5596	40	-308	110	5596	40	-308	110	5596	40	-308	110	5596	40	-308	110	5596	40	-308	110	5596	40	-308	110	5596	40	-308	110	5596	40	-308	110	5596	40	-308	110	5596	40	-308	110	5596	40	-308	110	5596	40	-308	110	5596	40	-308	110	5596	40	-308	110	5596
41	-51	51	5647	41	-51	51	5647	41	-51	51	5647	41	-51	51	5647	41	-51	51	5647	41	-51	51	5647	41	-51	51	5647	41	-51	51	5647	41	-51	51	5647	41	-51	51	5647	41	-51	51	5647	41	-51	51	5647	41	-51	51	5647	41	-51	51	5647	41	-51	51	5647	41	-51	51	5647	41	-51	51	5647	41	-51	51	5647	41	-51	51	5647
42	-58	58	5705	42	-58	58	5705	42	-58	58	5705	42	-58	58	5705	42	-58	58	5705	42	-58	58	5705	42	-58	58	5705	42	-58	58	5705	42	-58	58	5705	42	-58	58	5705	42	-58	58	5705	42	-58	58	5705	42	-58	58	5705	42	-58	58	5705	42	-58	58	5705	42	-58	58	5705	42	-58	58	5705	42	-58	58	5705	42	-58	58	5705
43	-183	84	5789	43	-183	84	5789	43	-183	84	5789	43	-183	84	5789	43	-183	84	5789	43	-183	84	5789	43	-183	84	5789	43	-183	84	5789	43	-183	84	5789	43	-183	84	5789	43	-183	84	5789	43	-183	84	5789	43	-183	84	5789	43	-183	84	5789	43	-183	84	5789	43	-183	84	5789	43	-183	84	5789	43	-183	84	5789	43	-183	84	5789
44	-218	119	5908	44	-218	119	5908	44	-218	119	5908	44	-218	119	5908	44	-218	119	5908	44	-218	119	5908	44	-218	119	5908	44	-218	119	5908	44	-218	119	5908	44	-218	119	5908	44	-218	119	5908	44	-218	119	5908	44	-218	119	5908	44	-218	119	5908	44	-218	119	5908	44	-218	119	5908	44	-218	119	5908	44	-218	119	5908	44	-218	119	5908
45	-27	27	5935	45	-27	27	5935	45	-27	27	5935	45	-27	27	5935	45	-27	27	5935	45	-27	27	5935	45	-27	27	5935	45	-27	27	5935	45	-27	27	5935	45	-27	27	5935	45	-27	27	5935	45	-27	27	5935	45	-27	27	5935	45	-27	27	5935	45	-27	27	5935	45	-27	27	5935	45	-27	27	5935	45	-27	27	5935	45	-27	27	5935
46	-37	37	5972	46	-37	37	5972	46	-37	37	5972	46	-37	37	5972	46	-37	37	5972	46	-37	37	5972	46	-37	37	5972	46	-37	37	5972	46	-37	37	5972	46	-37	37	5972	46	-37	37	5972	46	-37	37	5972	46	-37	37	5972	46	-37	37	5972	46	-37	37	5972	46	-37	37	5972	46	-37	37	5972	46	-37	37	5972	46	-37	37	5972
47	-201	102	6074	47	-201	102	6074	47	-201	102	6074	47	-201	102	6074	47	-201	102	6074	47	-201	102	6074	47	-201	102	6074	47	-201	102	6074	47	-201	102	6074	47	-201	102	6074	47	-201	102	6074	47	-201	102	6074	47	-201	102	6074	47	-201	102	6074	47	-201	102	6074	47	-201	102	6074	47	-201	102	6074	47	-201	102	6074	47	-201	102	6074
48	-36	36	6110	48	-36	36	6110	48	-36	36	6110	48	-36	36	6110	48	-36	36	6110	48	-36	36	6110	48	-36	36	6110	48	-36	36	6110	48	-36	36	6110	48	-36	36	6110	48	-36	36	6110	48	-36	36	6110	48	-36	36	6110	48	-36	36	6110	48	-36	36	6110	48	-36	36	6110	48	-36	36	6110	48	-36	36	6110	48	-36	36	6110
49	-41	41	6151	49	-41	41	6151	49	-41	41	6151	49	-41	41	6151	49	-41	41	6151	49	-41	41	6151	49	-41	41	6151	49	-41	41	6151	49	-41	41	6151	49	-41	41	6151	49	-41	41	6151	49	-41	41	6151	49	-41	41	6151	49	-41	41	6151	49	-41	41	6151	49	-41	41	6151	49	-41	41	6151	49	-41	41	6151	49	-41	41	6151
50	-29	29	6180	50	-29	29	6180	50	-29	29	6180	50	-29	29	6180	50	-29	29	6180	50	-29	29	6180	50	-29	29	6180	50	-29	29	6180	50	-29	29	6180	50	-29	29	6180	50	-29	29	6180	50	-29	29	6180	50	-29	29	6180	50	-29	29	6180	50	-29	29	6180	50	-29	29	6180	50	-29	29	6180	50	-29	29	6180	50	-29	29	6180
51	-38	38	6218	51	-38	38	6218	51	-38	38	6218	51	-38	38	6218	51	-38	38	6218	51	-38	38	6218	51	-38	38	6218	51	-38	38	6218	51	-38	38	6218	51	-38	38	6218	51	-38	38	6218	51	-38	38	6218	51	-38	38	6218	51	-38	38	6218	51	-38	38	6218	51	-38	38	6218	51	-38	38	6218	51	-38	38	6218	51	-38	38	6218
52	-157	58	6276	52	-157	58	6276	52	-157	58	6276	52	-157	58	6276	52	-157	58	6276	52	-157	58	6276	52	-157	58	6276	52	-157	58	6276	52	-157	58	6276	52	-157	58	6276	52	-157	58	6276	52	-157	58	6276	52	-157	58	6276	52	-157	58	6276	52	-157	58	6276	52	-157	58	6276	52	-157	58	6276	52	-157	58	6276	52	-157	58	6276
53	-178	79	6355	53	-178	79	6355	53	-178	79	6355	53	-178	79	6355	53	-178	79	6355	53	-178	79	6355	53	-178	79	6355	53	-178	79	6355	53	-178	79	6355	53	-178	79	6355	53	-178	79	6355	53	-178	79	6355	53	-178	79	6355	53	-178	79	6355	53	-178	79	6355	53	-178	79	6355	53	-178	79	6355	53	-178	79	6355	53	-178	79	6355
54	-55	55	6410	54	-55	55	6410	54	-55	55	6410	54	-55	55	6410	54	-55	55	6410	54	-55	55	6410	54	-55	55	6410	54	-55	55	6410	54	-55	55	6410	54	-55	55	6410	54	-55	55	6410	54	-55	55	6410	54	-55	55	6410	54	-55	55	6410	54	-55	55	6410	54	-55	55	6410	54	-55	55	6410	54	-55	55	6410	54	-55	55	6410
55	-43	43	6453	55	-43	43	6453	55	-43	43	6453	55	-43	43	6453	55	-43	43	6453	55	-43	43	6453	55	-43	43	6453	55	-43	43	6453	55	-43	43	6453	55	-43	43	6453	55	-43	43	6453	55	-43	43	6453	55	-43	43	6453	55	-43	43	6453	55	-43	43	6453	55	-43	43	6453	55	-43	43	6453	55	-43	43	6453	55	-43	43	6453
56	-167	68	6521	56	-167	68	6521	56	-167	68	6521	56	-167	68	6521	56	-167	68	6521	56	-167	68	6521	56	-167	68	6521	56	-167	68	6521	56	-167	68	6521	56	-167	68	6521	56	-167	68	6521	56	-167	68	6521	56	-167	68	6521	56	-167	68	6521	56	-167	68	6521	56	-167	68	6521	56	-167	68	6521	56	-167	68	6521	56	-167	68	6521
57	-485	89	6610	57	-485	89	6610	57	-485	89	6610	57	-485	89	6610	57	-485	89	6610	57	-485	89	6610	57	-485	89	6610	57	-485	89	6610	57	-485	89	6610	57	-485	89	6610	57	-485	89	6610	57	-485	89	6610	57	-485	89	6610	57	-485	89	6610	57	-485	89	6610	57	-485	89	6610	57	-485	89	6610	57	-485	89	6610	57	-485	89	6610
58	-69	69	6679	58	-69	69	6679	58	-69	69	6679	58	-69	69	6679	58	-69	69	6679	58	-69	69	6679	58	-69	69	6679	58	-69	69	6679	58	-69	69	6679	58	-69	69	6679	58	-69	69	6679	58	-69	69	6679	58	-69	69	6679	58	-69	69	6679	58	-69	69	6679	58	-69	69	6679	58	-69	69	6679	58	-69	69	6679	58	-69	69	6679
59	-37	37	6716	59	-37	37	6716	59	-37	37	6716	59	-37	37	6716	59	-37	37	6716	59	-37	37	6716	59	-37	37	6716	59	-37	37	6716	59	-37	37	6716	59	-37	37	6716	59	-37	37	6716	59	-37	37	6716	59	-37	37	6716	59	-37	37	6716	59	-37	37	6716	59	-37	37	6716	59	-37	37	6716	59	-37	37	6716	59	-37	37	6716
60	-147	48	6764	60	-147	48	6764	60	-147	48	6764	60	-147	48	6764	60	-147	48	6764	60	-147	48	6764	60	-147	48	6764	60	-147	48	6764	60	-147	48	6764	60	-147	48	6764	60	-147	48	6764	60	-147	48	6764	60	-147	48	6764	60	-147	48	6764	60	-147	48	6764	60	-147	48	6764	60	-147	48	6764	60	-147	48	6764	60	-147	48	6764
61	-48	48	6812	61	-48	48	6812	61	-48	48	6812	61	-48	48	6812	61	-48	48	6812	61	-48	48	6812	61	-48	48	6812	61	-48	48	6812	61	-48	48	6812	61	-48	48	6812	61	-48	48	6812	61	-48	48	6812	61	-48	48	6812	61	-48	48	6812	61	-48	48	6812	61	-48	48	6812	61	-48	48	6812	61	-48	48	6812	61	-48	48	6812
62	-18	18	6830	62	-18	18	6830	62	-18	18	6830	62	-18	18	6830	62	-18	18	6830	62	-18	18	6830	62	-18	18	6830	62	-18	18	6830	62	-18	18	6830	62	-18	18	6830	62	-18	18	6830	62	-18	18	6830	62	-18	18	6830	62	-18	18	6830	62	-18	18	6830	62	-18	18	6830	62	-18	18	6830	62	-18	18	6830	62	-18	18	6830
63	-35	35	6865	63	-35	35	6865	63	-35	35	6865	63	-35	35	6865	63	-35	35	6865	63	-35	35	6865	63	-35	35	6865	63	-35	35	6865	63	-35	35	6865	63	-35	35	6865	63	-35	35	6865	63	-35	35	6865	63	-35	35	6865	63	-35	35	6865	63	-35	35	6865	63	-35	35	6865	63	-35	35	6865	63	-35	35	6865	63	-35	35	6865
64	-49	49	6914	64	-49	49	6914	64	-49	49	6914	64	-49	49	6914	64	-49	49	6914	64	-49	49	6914	64	-49	49	6914	64	-49	49	6914	64	-49	49	6914	64	-49	49	6914	64	-49	49	6914	64	-49	49	6914	64	-49	49	6914	64	-49	49	6914	64	-49	49	6914	64	-49	49	6914	64	-49	49	6914	64	-49	49	6914	64	-49	49	6914
65	-43	43	6957	65	-43	43	6957	65	-43	43	6957	65	-43	43	6957	65	-43	43	6957	65	-43	43	6957	65	-43	43	6957	65	-43	43	6957	65	-43	43	6957	65	-43	43	6957	65	-43	43	6957	65	-43	43	6957	65	-43	43	6957	65	-43	43	6957	65	-43	43	6957	65	-43	43	6957	65	-43	43	6957	65	-43	43	6957	65	-43	43	6957
66	-32	32	6989	66	-32	32	6989	66	-32	32	6989	66	-32	32	6989	66	-32	32	6989	66	-32	32	6989	66	-32	32	6989	66	-32	32	6989	66	-32	32	6989	66	-32	32	6989	66	-32	32	6989	66	-32	32	6989	66	-32	32	6989	66	-32	32	6989	66	-32	32	6989	66	-32	32	6989	66	-32	32	6989	66	-32	32	6989	66	-32	32	6989
67	-50	50	7039	67	-50	50	7039	67	-50	50	7039	67	-50	50	7039	67	-50	50	7039	67	-50	50	7039	67	-50	50	7039	67	-50	50	7039	67	-50	50	7039	67	-50	50	7039	67	-50	50	7039	67	-50	50	7039	67	-50	50	7039	67	-50	50	7039	67	-50	50	7039	67	-50	50	7039	67	-50	50	7039	67	-50	50	7039	67	-50	50	7039
68	-221	122	7161	68	-221	122	7161	68	-221	122	7161	68	-221	122	7161	68	-221	122	7161	68	-221	122	7161	68	-221	122	7161	68	-221	122	7161	68	-221	122	7161	68	-221	122	7161	68	-221	122	7161	68	-221	122	7161	68	-221	122	7161	68	-221	122	7161	68	-221	122	7161	68	-221	122	7161	68	-221	122	7161	68	-221	122	7161	68	-221	122	7161
