Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
10	-16	16	171	10	-16	16	171	10	-16	16	171	10	-16	16	171	10	-16	16	171	10	-16	16	171	10	-16	16	171	10	-16	16	171	10	-16	16	171	10	-16	16	171	10	-16	16	171	10	-16	16	171	10	-16	16	171	10	-16	16	171	10	-16	16	171	10	-16	16	171	10	-16	16	171	10	-16	16	171	10	-16	16	171	10	-16	16	171	10	-16	16	171	10	-16	16	171	10	-16	16	171	10	-16	16	171	10	-16	16	171	10	-16	16	171
11	-17	17	188	11	-17	17	188	11	-17	17	188	11	-17	17	188	11	-17	17	188	11	-17	17	188	11	-17	17	188	11	-17	17	188	11	-17	17	188	11	-17	17	188	11	-17	17	188	11	-17	17	188	11	-17	17	188	11	-17	17	188	11	-17	17	188	11	-17	17	188	11	-17	17	188	11	-17	17	188	11	-17	17	188	11	-17	17	188	11	-17	17	188	11	-17	17	188	11	-17	17	188	11	-17	17	188	11	-17	17	188	11	-17	17	188
12	-13	13	201	12	-13	13	201	12	-13	13	201	12	-13	13	201	12	-13	13	201	12	-13	13	201	12	-13	13	201	12	-13	13	201	12	-13	13	201	12	-13	13	201	12	-13	13	201	12	-13	13	201	12	-13	13	201	12	-13	13	201	12	-13	13	201	12	-13	13	201	12	-13	13	201	12	-13	13	201	12	-13	13	201	12	-13	13	201	12	-13	13	201	12	-13	13	201	12	-13	13	201	12	-13	13	201	12	-13	13	201	12	-13	13	201
13	-13	13	214	13	-13	13	214	13	-13	13	214	13	-13	13	214	13	-13	13	214	13	-13	13	214	13	-13	13	214	13	-13	13	214	13	-13	13	214	13	-13	13	214	13	-13	13	214	13	-13	13	214	13	-13	13	214	13	-13	13	214	13	-13	13	214	13	-13	13	214	13	-13	13	214	13	-13	13	214	13	-13	13	214	13	-13	13	214	13	-13	13	214	13	-13	13	214	13	-13	13	214	13	-13	13	214	13	-13	13	214	13	-13	13	214
14	-15	15	229	14	-15	15	229	14	-15	15	229	14	-15	15	229	14	-15	15	229	14	-15	15	229	14	-15	15	229	14	-15	15	229	14	-15	15	229	14	-15	15	229	14	-15	15	229	14	-15	15	229	14	-15	15	229	14	-15	15	229	14	-15	15	229	14	-15	15	229	14	-15	15	229	14	-15	15	229	14	-15	15	229	14	-15	15	229	14	-15	15	229	14	-15	15	229	14	-15	15	229	14	-15	15	229	14	-15	15	229	14	-15	15	229
15	-15	15	244	15	-15	15	244	15	-15	15	244	15	-15	15	244	15	-15	15	244	15	-15	15	244	15	-15	15	244	15	-15	15	244	15	-15	15	244	15	-15	15	244	15	-15	15	244	15	-15	15	244	15	-15	15	244	15	-15	15	244	15	-15	15	244	15	-15	15	244	15	-15	15	244	15	-15	15	244	15	-15	15	244	15	-15	15	244	15	-15	15	244	15	-15	15	244	15	-15	15	244	15	-15	15	244	15	-15	15	244	15	-15	15	244
16	-13	13	257	16	-13	13	257	16	-13	13	257	16	-13	13	257	16	-13	13	257	16	-13	13	257	16	-13	13	257	16	-13	13	257	16	-13	13	257	16	-13	13	257	16	-13	13	257	16	-13	13	257	16	-13	13	257	16	-13	13	257	16	-13	13	257	16	-13	13	257	16	-13	13	257	16	-13	13	257	16	-13	13	257	16	-13	13	257	16	-13	13	257	16	-13	13	257	16	-13	13	257	16	-13	13	257	16	-13	13	257	16	-13	13	257
17	-115	16	273	17	-115	16	273	17	-115	16	273	17	-115	16	273	17	-115	16	273	17	-115	16	273	17	-115	16	273	17	-115	16	273	17	-115	16	273	17	-115	16	273	17	-115	16	273	17	-115	16	273	17	-115	16	273	17	-115	16	273	17	-115	16	273	17	-115	16	273	17	-115	16	273	17	-115	16	273	17	-115	16	273	17	-115	16	273	17	-115	16	273	17	-115	16	273	17	-115	16	273	17	-115	16	273	17	-115	16	273	17	-115	16	273
18	-13	13	286	18	-13	13	286	18	-13	13	286	18	-13	13	286	18	-13	13	286	18	-13	13	286	18	-13	13	286	18	-13	13	286	18	-13	13	286	18	-13	13	286	18	-13	13	286	18	-13	13	286	18	-13	13	286	18	-13	13	286	18	-13	13	286	18	-13	13	286	18	-13	13	286	18	-13	13	286	18	-13	13	286	18	-13	13	286	18	-13	13	286	18	-13	13	286	18	-13	13	286	18	-13	13	286	18	-13	13	286	18	-13	13	286
19	-14	14	300	19	-14	14	300	19	-14	14	300	19	-14	14	300	19	-14	14	300	19	-14	14	300	19	-14	14	300	19	-14	14	300	19	-14	14	300	19	-14	14	300	19	-14	14	300	19	-14	14	300	19	-14	14	300	19	-14	14	300	19	-14	14	300	19	-14	14	300	19	-14	14	300	19	-14	14	300	19	-14	14	300	19	-14	14	300	19	-14	14	300	19	-14	14	300	19	-14	14	300	19	-14	14	300	19	-14	14	300	19	-14	14	300
20	-14	14	314	20	-14	14	314	20	-14	14	314	20	-14	14	314	20	-14	14	314	20	-14	14	314	20	-14	14	314	20	-14	14	314	20	-14	14	314	20	-14	14	314	20	-14	14	314	20	-14	14	314	20	-14	14	314	20	-14	14	314	20	-14	14	314	20	-14	14	314	20	-14	14	314	20	-14	14	314	20	-14	14	314	20	-14	14	314	20	-14	14	314	20	-14	14	314	20	-14	14	314	20	-14	14	314	20	-14	14	314	20	-14	14	314
21	-19	19	333	21	-19	19	333	21	-19	19	333	21	-19	19	333	21	-19	19	333	21	-19	19	333	21	-19	19	333	21	-19	19	333	21	-19	19	333	21	-19	19	333	21	-19	19	333	21	-19	19	333	21	-19	19	333	21	-19	19	333	21	-19	19	333	21	-19	19	333	21	-19	19	333	21	-19	19	333	21	-19	19	333	21	-19	19	333	21	-19	19	333	21	-19	19	333	21	-19	19	333	21	-19	19	333	21	-19	19	333	21	-19	19	333
22	-124	25	358	22	-124	25	358	22	-124	25	358	22	-124	25	358	22	-124	25	358	22	-124	25	358	22	-124	25	358	22	-124	25	358	22	-124	25	358	22	-124	25	358	22	-124	25	358	22	-124	25	358	22	-124	25	358	22	-124	25	358	22	-124	25	358	22	-124	25	358	22	-124	25	358	22	-124	25	358	22	-124	25	358	22	-124	25	358	22	-124	25	358	22	-124	25	358	22	-124	25	358	22	-124	25	358	22	-124	25	358	22	-124	25	358
23	-15	15	373	23	-15	15	373	23	-15	15	373	23	-15	15	373	23	-15	15	373	23	-15	15	373	23	-15	15	373	23	-15	15	373	23	-15	15	373	23	-15	15	373	23	-15	15	373	23	-15	15	373	23	-15	15	373	23	-15	15	373	23	-15	15	373	23	-15	15	373	23	-15	15	373	23	-15	15	373	23	-15	15	373	23	-15	15	373	23	-15	15	373	23	-15	15	373	23	-15	15	373	23	-15	15	373	23	-15	15	373	23	-15	15	373
24	-13	13	386	24	-13	13	386	24	-13	13	386	24	-13	13	386	24	-13	13	386	24	-13	13	386	24	-13	13	386	24	-13	13	386	24	-13	13	386	24	-13	13	386	24	-13	13	386	24	-13	13	386	24	-13	13	386	24	-13	13	386	24	-13	13	386	24	-13	13	386	24	-13	13	386	24	-13	13	386	24	-13	13	386	24	-13	13	386	24	-13	13	386	24	-13	13	386	24	-13	13	386	24	-13	13	386	24	-13	13	386	24	-13	13	386
25	-215	17	403	25	-215	17	403	25	-215	17	403	25	-215	17	403	25	-215	17	403	25	-215	17	403	25	-215	17	403	25	-215	17	403	25	-215	17	403	25	-215	17	403	25	-215	17	403	25	-215	17	403	25	-215	17	403	25	-215	17	403	25	-215	17	403	25	-215	17	403	25	-215	17	403	25	-215	17	403	25	-215	17	403	25	-215	17	403	25	-215	17	403	25	-215	17	403	25	-215	17	403	25	-215	17	403	25	-215	17	403	25	-215	17	403
26	-17	17	420	26	-17	17	420	26	-17	17	420	26	-17	17	420	26	-17	17	420	26	-17	17	420	26	-17	17	420	26	-17	17	420	26	-17	17	420	26	-17	17	420	26	-17	17	420	26	-17	17	420	26	-17	17	420	26	-17	17	420	26	-17	17	420	26	-17	17	420	26	-17	17	420	26	-17	17	420	26	-17	17	420	26	-17	17	420	26	-17	17	420	26	-17	17	420	26	-17	17	420	26	-17	17	420	26	-17	17	420	26	-17	17	420
27	-118	19	439	27	-118	19	439	27	-118	19	439	27	-118	19	439	27	-118	19	439	27	-118	19	439	27	-118	19	439	27	-118	19	439	27	-118	19	439	27	-118	19	439	27	-118	19	439	27	-118	19	439	27	-118	19	439	27	-118	19	439	27	-118	19	439	27	-118	19	439	27	-118	19	439	27	-118	19	439	27	-118	19	439	27	-118	19	439	27	-118	19	439	27	-118	19	439	27	-118	19	439	27	-118	19	439	27	-118	19	439	27	-118	19	439
28	-13	13	452	28	-13	13	452	28	-13	13	452	28	-13	13	452	28	-13	13	452	28	-13	13	452	28	-13	13	452	28	-13	13	452	28	-13	13	452	28	-13	13	452	28	-13	13	452	28	-13	13	452	28	-13	13	452	28	-13	13	452	28	-13	13	452	28	-13	13	452	28	-13	13	452	28	-13	13	452	28	-13	13	452	28	-13	13	452	28	-13	13	452	28	-13	13	452	28	-13	13	452	28	-13	13	452	28	-13	13	452	28	-13	13	452
29	-13	13	465	29	-13	13	465	29	-13	13	465	29	-13	13	465	29	-13	13	465	29	-13	13	465	29	-13	13	465	29	-13	13	465	29	-13	13	465	29	-13	13	465	29	-13	13	465	29	-13	13	465	29	-13	13	465	29	-13	13	465	29	-13	13	465	29	-13	13	465	29	-13	13	465	29	-13	13	465	29	-13	13	465	29	-13	13	465	29	-13	13	465	29	-13	13	465	29	-13	13	465	29	-13	13	465	29	-13	13	465	29	-13	13	465
30	-13	13	478	30	-13	13	478	30	-13	13	478	30	-13	13	478	30	-13	13	478	30	-13	13	478	30	-13	13	478	30	-13	13	478	30	-13	13	478	30	-13	13	478	30	-13	13	478	30	-13	13	478	30	-13	13	478	30	-13	13	478	30	-13	13	478	30	-13	13	478	30	-13	13	478	30	-13	13	478	30	-13	13	478	30	-13	13	478	30	-13	13	478	30	-13	13	478	30	-13	13	478	30	-13	13	478	30	-13	13	478	30	-13	13	478
31	-13	13	491	31	-13	13	491	31	-13	13	491	31	-13	13	491	31	-13	13	491	31	-13	13	491	31	-13	13	491	31	-13	13	491	31	-13	13	491	31	-13	13	491	31	-13	13	491	31	-13	13	491	31	-13	13	491	31	-13	13	491	31	-13	13	491	31	-13	13	491	31	-13	13	491	31	-13	13	491	31	-13	13	491	31	-13	13	491	31	-13	13	491	31	-13	13	491	31	-13	13	491	31	-13	13	491	31	-13	13	491	31	-13	13	491
32	-15	15	506	32	-15	15	506	32	-15	15	506	32	-15	15	506	32	-15	15	506	32	-15	15	506	32	-15	15	506	32	-15	15	506	32	-15	15	506	32	-15	15	506	32	-15	15	506	32	-15	15	506	32	-15	15	506	32	-15	15	506	32	-15	15	506	32	-15	15	506	32	-15	15	506	32	-15	15	506	32	-15	15	506	32	-15	15	506	32	-15	15	506	32	-15	15	506	32	-15	15	506	32	-15	15	506	32	-15	15	506	32	-15	15	506
33	-13	13	519	33	-13	13	519	33	-13	13	519	33	-13	13	519	33	-13	13	519	33	-13	13	519	33	-13	13	519	33	-13	13	519	33	-13	13	519	33	-13	13	519	33	-13	13	519	33	-13	13	519	33	-13	13	519	33	-13	13	519	33	-13	13	519	33	-13	13	519	33	-13	13	519	33	-13	13	519	33	-13	13	519	33	-13	13	519	33	-13	13	519	33	-13	13	519	33	-13	13	519	33	-13	13	519	33	-13	13	519	33	-13	13	519
34	-14	14	533	34	-14	14	533	34	-14	14	533	34	-14	14	533	34	-14	14	533	34	-14	14	533	34	-14	14	533	34	-14	14	533	34	-14	14	533	34	-14	14	533	34	-14	14	533	34	-14	14	533	34	-14	14	533	34	-14	14	533	34	-14	14	533	34	-14	14	533	34	-14	14	533	34	-14	14	533	34	-14	14	533	34	-14	14	533	34	-14	14	533	34	-14	14	533	34	-14	14	533	34	-14	14	533	34	-14	14	533	34	-14	14	533
35	-16	16	549	35	-16	16	549	35	-16	16	549	35	-16	16	549	35	-16	16	549	35	-16	16	549	35	-16	16	549	35	-16	16	549	35	-16	16	549	35	-16	16	549	35	-16	16	549	35	-16	16	549	35	-16	16	549	35	-16	16	549	35	-16	16	549	35	-16	16	549	35	-16	16	549	35	-16	16	549	35	-16	16	549	35	-16	16	549	35	-16	16	549	35	-16	16	549	35	-16	16	549	35	-16	16	549	35	-16	16	549	35	-16	16	549
36	-15	15	564	36	-15	15	564	36	-15	15	564	36	-15	15	564	36	-15	15	564	36	-15	15	564	36	-15	15	564	36	-15	15	564	36	-15	15	564	36	-15	15	564	36	-15	15	564	36	-15	15	564	36	-15	15	564	36	-15	15	564	36	-15	15	564	36	-15	15	564	36	-15	15	564	36	-15	15	564	36	-15	15	564	36	-15	15	564	36	-15	15	564	36	-15	15	564	36	-15	15	564	36	-15	15	564	36	-15	15	564	36	-15	15	564
37	-13	13	577	37	-13	13	577	37	-13	13	577	37	-13	13	577	37	-13	13	577	37	-13	13	577	37	-13	13	577	37	-13	13	577	37	-13	13	577	37	-13	13	577	37	-13	13	577	37	-13	13	577	37	-13	13	577	37	-13	13	577	37	-13	13	577	37	-13	13	577	37	-13	13	577	37	-13	13	577	37	-13	13	577	37	-13	13	577	37	-13	13	577	37	-13	13	577	37	-13	13	577	37	-13	13	577	37	-13	13	577	37	-13	13	577
38	-15	15	592	38	-15	15	592	38	-15	15	592	38	-15	15	592	38	-15	15	592	38	-15	15	592	38	-15	15	592	38	-15	15	592	38	-15	15	592	38	-15	15	592	38	-15	15	592	38	-15	15	592	38	-15	15	592	38	-15	15	592	38	-15	15	592	38	-15	15	592	38	-15	15	592	38	-15	15	592	38	-15	15	592	38	-15	15	592	38	-15	15	592	38	-15	15	592	38	-15	15	592	38	-15	15	592	38	-15	15	592	38	-15	15	592
39	-13	13	605	39	-13	13	605	39	-13	13	605	39	-13	13	605	39	-13	13	605	39	-13	13	605	39	-13	13	605	39	-13	13	605	39	-13	13	605	39	-13	13	605	39	-13	13	605	39	-13	13	605	39	-13	13	605	39	-13	13	605	39	-13	13	605	39	-13	13	605	39	-13	13	605	39	-13	13	605	39	-13	13	605	39	-13	13	605	39	-13	13	605	39	-13	13	605	39	-13	13	605	39	-13	13	605	39	-13	13	605	39	-13	13	605
40	-13	13	618	40	-13	13	618	40	-13	13	618	40	-13	13	618	40	-13	13	618	40	-13	13	618	40	-13	13	618	40	-13	13	618	40	-13	13	618	40	-13	13	618	40	-13	13	618	40	-13	13	618	40	-13	13	618	40	-13	13	618	40	-13	13	618	40	-13	13	618	40	-13	13	618	40	-13	13	618	40	-13	13	618	40	-13	13	618	40	-13	13	618	40	-13	13	618	40	-13	13	618	40	-13	13	618	40	-13	13	618	40	-13	13	618
41	-117	18	636	41	-117	18	636	41	-117	18	636	41	-117	18	636	41	-117	18	636	41	-117	18	636	41	-117	18	636	41	-117	18	636	41	-117	18	636	41	-117	18	636	41	-117	18	636	41	-117	18	636	41	-117	18	636	41	-117	18	636	41	-117	18	636	41	-117	18	636	41	-117	18	636	41	-117	18	636	41	-117	18	636	41	-117	18	636	41	-117	18	636	41	-117	18	636	41	-117	18	636	41	-117	18	636	41	-117	18	636	41	-117	18	636
42	-15	15	651	42	-15	15	651	42	-15	15	651	42	-15	15	651	42	-15	15	651	42	-15	15	651	42	-15	15	651	42	-15	15	651	42	-15	15	651	42	-15	15	651	42	-15	15	651	42	-15	15	651	42	-15	15	651	42	-15	15	651	42	-15	15	651	42	-15	15	651	42	-15	15	651	42	-15	15	651	42	-15	15	651	42	-15	15	651	42	-15	15	651	42	-15	15	651	42	-15	15	651	42	-15	15	651	42	-15	15	651	42	-15	15	651
43	-15	15	666	43	-15	15	666	43	-15	15	666	43	-15	15	666	43	-15	15	666	43	-15	15	666	43	-15	15	666	43	-15	15	666	43	-15	15	666	43	-15	15	666	43	-15	15	666	43	-15	15	666	43	-15	15	666	43	-15	15	666	43	-15	15	666	43	-15	15	666	43	-15	15	666	43	-15	15	666	43	-15	15	666	43	-15	15	666	43	-15	15	666	43	-15	15	666	43	-15	15	666	43	-15	15	666	43	-15	15	666	43	-15	15	666
44	-13	13	679	44	-13	13	679	44	-13	13	679	44	-13	13	679	44	-13	13	679	44	-13	13	679	44	-13	13	679	44	-13	13	679	44	-13	13	679	44	-13	13	679	44	-13	13	679	44	-13	13	679	44	-13	13	679	44	-13	13	679	44	-13	13	679	44	-13	13	679	44	-13	13	679	44	-13	13	679	44	-13	13	679	44	-13	13	679	44	-13	13	679	44	-13	13	679	44	-13	13	679	44	-13	13	679	44	-13	13	679	44	-13	13	679
45	-13	13	692	45	-13	13	692	45	-13	13	692	45	-13	13	692	45	-13	13	692	45	-13	13	692	45	-13	13	692	45	-13	13	692	45	-13	13	692	45	-13	13	692	45	-13	13	692	45	-13	13	692	45	-13	13	692	45	-13	13	692	45	-13	13	692	45	-13	13	692	45	-13	13	692	45	-13	13	692	45	-13	13	692	45	-13	13	692	45	-13	13	692	45	-13	13	692	45	-13	13	692	45	-13	13	692	45	-13	13	692	45	-13	13	692
46	-13	13	705	46	-13	13	705	46	-13	13	705	46	-13	13	705	46	-13	13	705	46	-13	13	705	46	-13	13	705	46	-13	13	705	46	-13	13	705	46	-13	13	705	46	-13	13	705	46	-13	13	705	46	-13	13	705	46	-13	13	705	46	-13	13	705	46	-13	13	705	46	-13	13	705	46	-13	13	705	46	-13	13	705	46	-13	13	705	46	-13	13	705	46	-13	13	705	46	-13	13	705	46	-13	13	705	46	-13	13	705	46	-13	13	705
47	-15	15	720	47	-15	15	720	47	-15	15	720	47	-15	15	720	47	-15	15	720	47	-15	15	720	47	-15	15	720	47	-15	15	720	47	-15	15	720	47	-15	15	720	47	-15	15	720	47	-15	15	720	47	-15	15	720	47	-15	15	720	47	-15	15	720	47	-15	15	720	47	-15	15	720	47	-15	15	720	47	-15	15	720	47	-15	15	720	47	-15	15	720	47	-15	15	720	47	-15	15	720	47	-15	15	720	47	-15	15	720	47	-15	15	720
48	-129	30	750	48	-129	30	750	48	-129	30	750	48	-129	30	750	48	-129	30	750	48	-129	30	750	48	-129	30	750	48	-129	30	750	48	-129	30	750	48	-129	30	750	48	-129	30	750	48	-129	30	750	48	-129	30	750	48	-129	30	750	48	-129	30	750	48	-129	30	750	48	-129	30	750	48	-129	30	750	48	-129	30	750	48	-129	30	750	48	-129	30	750	48	-129	30	750	48	-129	30	750	48	-129	30	750	48	-129	30	750	48	-129	30	750
49	-13	13	763	49	-13	13	763	49	-13	13	763	49	-13	13	763	49	-13	13	763	49	-13	13	763	49	-13	13	763	49	-13	13	763	49	-13	13	763	49	-13	13	763	49	-13	13	763	49	-13	13	763	49	-13	13	763	49	-13	13	763	49	-13	13	763	49	-13	13	763	49	-13	13	763	49	-13	13	763	49	-13	13	763	49	-13	13	763	49	-13	13	763	49	-13	13	763	49	-13	13	763	49	-13	13	763	49	-13	13	763	49	-13	13	763
50	-15	15	778	50	-15	15	778	50	-15	15	778	50	-15	15	778	50	-15	15	778	50	-15	15	778	50	-15	15	778	50	-15	15	778	50	-15	15	778	50	-15	15	778	50	-15	15	778	50	-15	15	778	50	-15	15	778	50	-15	15	778	50	-15	15	778	50	-15	15	778	50	-15	15	778	50	-15	15	778	50	-15	15	778	50	-15	15	778	50	-15	15	778	50	-15	15	778	50	-15	15	778	50	-15	15	778	50	-15	15	778	50	-15	15	778
51	-13	13	791	51	-13	13	791	51	-13	13	791	51	-13	13	791	51	-13	13	791	51	-13	13	791	51	-13	13	791	51	-13	13	791	51	-13	13	791	51	-13	13	791	51	-13	13	791	51	-13	13	791	51	-13	13	791	51	-13	13	791	51	-13	13	791	51	-13	13	791	51	-13	13	791	51	-13	13	791	51	-13	13	791	51	-13	13	791	51	-13	13	791	51	-13	13	791	51	-13	13	791	51	-13	13	791	51	-13	13	791	51	-13	13	791
52	-122	23	814	52	-122	23	814	52	-122	23	814	52	-122	23	814	52	-122	23	814	52	-122	23	814	52	-122	23	814	52	-122	23	814	52	-122	23	814	52	-122	23	814	52	-122	23	814	52	-122	23	814	52	-122	23	814	52	-122	23	814	52	-122	23	814	52	-122	23	814	52	-122	23	814	52	-122	23	814	52	-122	23	814	52	-122	23	814	52	-122	23	814	52	-122	23	814	52	-122	23	814	52	-122	23	814	52	-122	23	814	52	-122	23	814
53	-15	15	829	53	-15	15	829	53	-15	15	829	53	-15	15	829	53	-15	15	829	53	-15	15	829	53	-15	15	829	53	-15	15	829	53	-15	15	829	53	-15	15	829	53	-15	15	829	53	-15	15	829	53	-15	15	829	53	-15	15	829	53	-15	15	829	53	-15	15	829	53	-15	15	829	53	-15	15	829	53	-15	15	829	53	-15	15	829	53	-15	15	829	53	-15	15	829	53	-15	15	829	53	-15	15	829	53	-15	15	829	53	-15	15	829
54	-17	17	846	54	-17	17	846	54	-17	17	846	54	-17	17	846	54	-17	17	846	54	-17	17	846	54	-17	17	846	54	-17	17	846	54	-17	17	846	54	-17	17	846	54	-17	17	846	54	-17	17	846	54	-17	17	846	54	-17	17	846	54	-17	17	846	54	-17	17	846	54	-17	17	846	54	-17	17	846	54	-17	17	846	54	-17	17	846	54	-17	17	846	54	-17	17	846	54	-17	17	846	54	-17	17	846	54	-17	17	846	54	-17	17	846
