Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
87	-14	14	1552	87	-14	14	1552	87	-14	14	1552	87	-14	14	1552	87	-14	14	1552	87	-14	14	1552	87	-14	14	1552	87	-14	14	1552	87	-14	14	1552	87	-14	14	1552	87	-14	14	1552	87	-14	14	1552	87	-14	14	1552	87	-14	14	1552
88	-15	15	1567	88	-15	15	1567	88	-15	15	1567	88	-15	15	1567	88	-15	15	1567	88	-15	15	1567	88	-15	15	1567	88	-15	15	1567	88	-15	15	1567	88	-15	15	1567	88	-15	15	1567	88	-15	15	1567	88	-15	15	1567	88	-15	15	1567
89	-13	13	1580	89	-13	13	1580	89	-13	13	1580	89	-13	13	1580	89	-13	13	1580	89	-13	13	1580	89	-13	13	1580	89	-13	13	1580	89	-13	13	1580	89	-13	13	1580	89	-13	13	1580	89	-13	13	1580	89	-13	13	1580	89	-13	13	1580
90	-15	15	1595	90	-15	15	1595	90	-15	15	1595	90	-15	15	1595	90	-15	15	1595	90	-15	15	1595	90	-15	15	1595	90	-15	15	1595	90	-15	15	1595	90	-15	15	1595	90	-15	15	1595	90	-15	15	1595	90	-15	15	1595	90	-15	15	1595
91	-15	15	1610	91	-15	15	1610	91	-15	15	1610	91	-15	15	1610	91	-15	15	1610	91	-15	15	1610	91	-15	15	1610	91	-15	15	1610	91	-15	15	1610	91	-15	15	1610	91	-15	15	1610	91	-15	15	1610	91	-15	15	1610	91	-15	15	1610
92	-15	15	1625	92	-15	15	1625	92	-15	15	1625	92	-15	15	1625	92	-15	15	1625	92	-15	15	1625	92	-15	15	1625	92	-15	15	1625	92	-15	15	1625	92	-15	15	1625	92	-15	15	1625	92	-15	15	1625	92	-15	15	1625	92	-15	15	1625
93	-17	17	1642	93	-17	17	1642	93	-17	17	1642	93	-17	17	1642	93	-17	17	1642	93	-17	17	1642	93	-17	17	1642	93	-17	17	1642	93	-17	17	1642	93	-17	17	1642	93	-17	17	1642	93	-17	17	1642	93	-17	17	1642	93	-17	17	1642
94	-19	19	1661	94	-19	19	1661	94	-19	19	1661	94	-19	19	1661	94	-19	19	1661	94	-19	19	1661	94	-19	19	1661	94	-19	19	1661	94	-19	19	1661	94	-19	19	1661	94	-19	19	1661	94	-19	19	1661	94	-19	19	1661	94	-19	19	1661
95	-13	13	1674	95	-13	13	1674	95	-13	13	1674	95	-13	13	1674	95	-13	13	1674	95	-13	13	1674	95	-13	13	1674	95	-13	13	1674	95	-13	13	1674	95	-13	13	1674	95	-13	13	1674	95	-13	13	1674	95	-13	13	1674	95	-13	13	1674
96	-17	17	1691	96	-17	17	1691	96	-17	17	1691	96	-17	17	1691	96	-17	17	1691	96	-17	17	1691	96	-17	17	1691	96	-17	17	1691	96	-17	17	1691	96	-17	17	1691	96	-17	17	1691	96	-17	17	1691	96	-17	17	1691	96	-17	17	1691
97	-13	13	1704	97	-13	13	1704	97	-13	13	1704	97	-13	13	1704	97	-13	13	1704	97	-13	13	1704	97	-13	13	1704	97	-13	13	1704	97	-13	13	1704	97	-13	13	1704	97	-13	13	1704	97	-13	13	1704	97	-13	13	1704	97	-13	13	1704
98	-17	17	1721	98	-17	17	1721	98	-17	17	1721	98	-17	17	1721	98	-17	17	1721	98	-17	17	1721	98	-17	17	1721	98	-17	17	1721	98	-17	17	1721	98	-17	17	1721	98	-17	17	1721	98	-17	17	1721	98	-17	17	1721	98	-17	17	1721
99	-128	29	1750	99	-128	29	1750	99	-128	29	1750	99	-128	29	1750	99	-128	29	1750	99	-128	29	1750	99	-128	29	1750	99	-128	29	1750	99	-128	29	1750	99	-128	29	1750	99	-128	29	1750	99	-128	29	1750	99	-128	29	1750	99	-128	29	1750
100	-13	13	1763	100	-13	13	1763	100	-13	13	1763	100	-13	13	1763	100	-13	13	1763	100	-13	13	1763	100	-13	13	1763	100	-13	13	1763	100	-13	13	1763	100	-13	13	1763	100	-13	13	1763	100	-13	13	1763	100	-13	13	1763	100	-13	13	1763
101	-13	13	1776	101	-13	13	1776	101	-13	13	1776	101	-13	13	1776	101	-13	13	1776	101	-13	13	1776	101	-13	13	1776	101	-13	13	1776	101	-13	13	1776	101	-13	13	1776	101	-13	13	1776	101	-13	13	1776	101	-13	13	1776	101	-13	13	1776
102	-13	13	1789	102	-13	13	1789	102	-13	13	1789	102	-13	13	1789	102	-13	13	1789	102	-13	13	1789	102	-13	13	1789	102	-13	13	1789	102	-13	13	1789	102	-13	13	1789	102	-13	13	1789	102	-13	13	1789	102	-13	13	1789	102	-13	13	1789
103	-13	13	1802	103	-13	13	1802	103	-13	13	1802	103	-13	13	1802	103	-13	13	1802	103	-13	13	1802	103	-13	13	1802	103	-13	13	1802	103	-13	13	1802	103	-13	13	1802	103	-13	13	1802	103	-13	13	1802	103	-13	13	1802	103	-13	13	1802
104	-13	13	1815	104	-13	13	1815	104	-13	13	1815	104	-13	13	1815	104	-13	13	1815	104	-13	13	1815	104	-13	13	1815	104	-13	13	1815	104	-13	13	1815	104	-13	13	1815	104	-13	13	1815	104	-13	13	1815	104	-13	13	1815	104	-13	13	1815
105	-13	13	1828	105	-13	13	1828	105	-13	13	1828	105	-13	13	1828	105	-13	13	1828	105	-13	13	1828	105	-13	13	1828	105	-13	13	1828	105	-13	13	1828	105	-13	13	1828	105	-13	13	1828	105	-13	13	1828	105	-13	13	1828	105	-13	13	1828
106	-118	19	1847	106	-118	19	1847	106	-118	19	1847	106	-118	19	1847	106	-118	19	1847	106	-118	19	1847	106	-118	19	1847	106	-118	19	1847	106	-118	19	1847	106	-118	19	1847	106	-118	19	1847	106	-118	19	1847	106	-118	19	1847	106	-118	19	1847
107	-14	14	1861	107	-14	14	1861	107	-14	14	1861	107	-14	14	1861	107	-14	14	1861	107	-14	14	1861	107	-14	14	1861	107	-14	14	1861	107	-14	14	1861	107	-14	14	1861	107	-14	14	1861	107	-14	14	1861	107	-14	14	1861	107	-14	14	1861
108	-13	13	1874	108	-13	13	1874	108	-13	13	1874	108	-13	13	1874	108	-13	13	1874	108	-13	13	1874	108	-13	13	1874	108	-13	13	1874	108	-13	13	1874	108	-13	13	1874	108	-13	13	1874	108	-13	13	1874	108	-13	13	1874	108	-13	13	1874
109	-117	18	1892	109	-117	18	1892	109	-117	18	1892	109	-117	18	1892	109	-117	18	1892	109	-117	18	1892	109	-117	18	1892	109	-117	18	1892	109	-117	18	1892	109	-117	18	1892	109	-117	18	1892	109	-117	18	1892	109	-117	18	1892	109	-117	18	1892
110	-15	15	1907	110	-15	15	1907	110	-15	15	1907	110	-15	15	1907	110	-15	15	1907	110	-15	15	1907	110	-15	15	1907	110	-15	15	1907	110	-15	15	1907	110	-15	15	1907	110	-15	15	1907	110	-15	15	1907	110	-15	15	1907	110	-15	15	1907
111	-15	15	1922	111	-15	15	1922	111	-15	15	1922	111	-15	15	1922	111	-15	15	1922	111	-15	15	1922	111	-15	15	1922	111	-15	15	1922	111	-15	15	1922	111	-15	15	1922	111	-15	15	1922	111	-15	15	1922	111	-15	15	1922	111	-15	15	1922
112	-17	17	1939	112	-17	17	1939	112	-17	17	1939	112	-17	17	1939	112	-17	17	1939	112	-17	17	1939	112	-17	17	1939	112	-17	17	1939	112	-17	17	1939	112	-17	17	1939	112	-17	17	1939	112	-17	17	1939	112	-17	17	1939	112	-17	17	1939
113	-13	13	1952	113	-13	13	1952	113	-13	13	1952	113	-13	13	1952	113	-13	13	1952	113	-13	13	1952	113	-13	13	1952	113	-13	13	1952	113	-13	13	1952	113	-13	13	1952	113	-13	13	1952	113	-13	13	1952	113	-13	13	1952	113	-13	13	1952
114	-116	17	1969	114	-116	17	1969	114	-116	17	1969	114	-116	17	1969	114	-116	17	1969	114	-116	17	1969	114	-116	17	1969	114	-116	17	1969	114	-116	17	1969	114	-116	17	1969	114	-116	17	1969	114	-116	17	1969	114	-116	17	1969	114	-116	17	1969
115	-221	23	1992	115	-221	23	1992	115	-221	23	1992	115	-221	23	1992	115	-221	23	1992	115	-221	23	1992	115	-221	23	1992	115	-221	23	1992	115	-221	23	1992	115	-221	23	1992	115	-221	23	1992	115	-221	23	1992	115	-221	23	1992	115	-221	23	1992
116	-15	15	2007	116	-15	15	2007	116	-15	15	2007	116	-15	15	2007	116	-15	15	2007	116	-15	15	2007	116	-15	15	2007	116	-15	15	2007	116	-15	15	2007	116	-15	15	2007	116	-15	15	2007	116	-15	15	2007	116	-15	15	2007	116	-15	15	2007
117	-118	19	2026	117	-118	19	2026	117	-118	19	2026	117	-118	19	2026	117	-118	19	2026	117	-118	19	2026	117	-118	19	2026	117	-118	19	2026	117	-118	19	2026	117	-118	19	2026	117	-118	19	2026	117	-118	19	2026	117	-118	19	2026	117	-118	19	2026
118	-14	14	2040	118	-14	14	2040	118	-14	14	2040	118	-14	14	2040	118	-14	14	2040	118	-14	14	2040	118	-14	14	2040	118	-14	14	2040	118	-14	14	2040	118	-14	14	2040	118	-14	14	2040	118	-14	14	2040	118	-14	14	2040	118	-14	14	2040
119	-13	13	2053	119	-13	13	2053	119	-13	13	2053	119	-13	13	2053	119	-13	13	2053	119	-13	13	2053	119	-13	13	2053	119	-13	13	2053	119	-13	13	2053	119	-13	13	2053	119	-13	13	2053	119	-13	13	2053	119	-13	13	2053	119	-13	13	2053
120	-129	30	2083	120	-129	30	2083	120	-129	30	2083	120	-129	30	2083	120	-129	30	2083	120	-129	30	2083	120	-129	30	2083	120	-129	30	2083	120	-129	30	2083	120	-129	30	2083	120	-129	30	2083	120	-129	30	2083	120	-129	30	2083	120	-129	30	2083
121	-13	13	2096	121	-13	13	2096	121	-13	13	2096	121	-13	13	2096	121	-13	13	2096	121	-13	13	2096	121	-13	13	2096	121	-13	13	2096	121	-13	13	2096	121	-13	13	2096	121	-13	13	2096	121	-13	13	2096	121	-13	13	2096	121	-13	13	2096
122	-13	13	2109	122	-13	13	2109	122	-13	13	2109	122	-13	13	2109	122	-13	13	2109	122	-13	13	2109	122	-13	13	2109	122	-13	13	2109	122	-13	13	2109	122	-13	13	2109	122	-13	13	2109	122	-13	13	2109	122	-13	13	2109	122	-13	13	2109
123	-120	21	2130	123	-120	21	2130	123	-120	21	2130	123	-120	21	2130	123	-120	21	2130	123	-120	21	2130	123	-120	21	2130	123	-120	21	2130	123	-120	21	2130	123	-120	21	2130	123	-120	21	2130	123	-120	21	2130	123	-120	21	2130	123	-120	21	2130
124	-15	15	2145	124	-15	15	2145	124	-15	15	2145	124	-15	15	2145	124	-15	15	2145	124	-15	15	2145	124	-15	15	2145	124	-15	15	2145	124	-15	15	2145	124	-15	15	2145	124	-15	15	2145	124	-15	15	2145	124	-15	15	2145	124	-15	15	2145
125	-235	37	2182	125	-235	37	2182	125	-235	37	2182	125	-235	37	2182	125	-235	37	2182	125	-235	37	2182	125	-235	37	2182	125	-235	37	2182	125	-235	37	2182	125	-235	37	2182	125	-235	37	2182	125	-235	37	2182	125	-235	37	2182	125	-235	37	2182
126	-13	13	2195	126	-13	13	2195	126	-13	13	2195	126	-13	13	2195	126	-13	13	2195	126	-13	13	2195	126	-13	13	2195	126	-13	13	2195	126	-13	13	2195	126	-13	13	2195	126	-13	13	2195	126	-13	13	2195	126	-13	13	2195	126	-13	13	2195
127	-17	17	2212	127	-17	17	2212	127	-17	17	2212	127	-17	17	2212	127	-17	17	2212	127	-17	17	2212	127	-17	17	2212	127	-17	17	2212	127	-17	17	2212	127	-17	17	2212	127	-17	17	2212	127	-17	17	2212	127	-17	17	2212	127	-17	17	2212
128	-20	20	2232	128	-20	20	2232	128	-20	20	2232	128	-20	20	2232	128	-20	20	2232	128	-20	20	2232	128	-20	20	2232	128	-20	20	2232	128	-20	20	2232	128	-20	20	2232	128	-20	20	2232	128	-20	20	2232	128	-20	20	2232	128	-20	20	2232
129	-13	13	2245	129	-13	13	2245	129	-13	13	2245	129	-13	13	2245	129	-13	13	2245	129	-13	13	2245	129	-13	13	2245	129	-13	13	2245	129	-13	13	2245	129	-13	13	2245	129	-13	13	2245	129	-13	13	2245	129	-13	13	2245	129	-13	13	2245
130	-15	15	2260	130	-15	15	2260	130	-15	15	2260	130	-15	15	2260	130	-15	15	2260	130	-15	15	2260	130	-15	15	2260	130	-15	15	2260	130	-15	15	2260	130	-15	15	2260	130	-15	15	2260	130	-15	15	2260	130	-15	15	2260	130	-15	15	2260
131	-13	13	2273	131	-13	13	2273	131	-13	13	2273	131	-13	13	2273	131	-13	13	2273	131	-13	13	2273	131	-13	13	2273	131	-13	13	2273	131	-13	13	2273	131	-13	13	2273	131	-13	13	2273	131	-13	13	2273	131	-13	13	2273	131	-13	13	2273
132	-13	13	2286	132	-13	13	2286	132	-13	13	2286	132	-13	13	2286	132	-13	13	2286	132	-13	13	2286	132	-13	13	2286	132	-13	13	2286	132	-13	13	2286	132	-13	13	2286	132	-13	13	2286	132	-13	13	2286	132	-13	13	2286	132	-13	13	2286
133	-15	15	2301	133	-15	15	2301	133	-15	15	2301	133	-15	15	2301	133	-15	15	2301	133	-15	15	2301	133	-15	15	2301	133	-15	15	2301	133	-15	15	2301	133	-15	15	2301	133	-15	15	2301	133	-15	15	2301	133	-15	15	2301	133	-15	15	2301
134	-120	21	2322	134	-120	21	2322	134	-120	21	2322	134	-120	21	2322	134	-120	21	2322	134	-120	21	2322	134	-120	21	2322	134	-120	21	2322	134	-120	21	2322	134	-120	21	2322	134	-120	21	2322	134	-120	21	2322	134	-120	21	2322	134	-120	21	2322
135	-13	13	2335	135	-13	13	2335	135	-13	13	2335	135	-13	13	2335	135	-13	13	2335	135	-13	13	2335	135	-13	13	2335	135	-13	13	2335	135	-13	13	2335	135	-13	13	2335	135	-13	13	2335	135	-13	13	2335	135	-13	13	2335	135	-13	13	2335
136	-19	19	2354	136	-19	19	2354	136	-19	19	2354	136	-19	19	2354	136	-19	19	2354	136	-19	19	2354	136	-19	19	2354	136	-19	19	2354	136	-19	19	2354	136	-19	19	2354	136	-19	19	2354	136	-19	19	2354	136	-19	19	2354	136	-19	19	2354
137	-19	19	2373	137	-19	19	2373	137	-19	19	2373	137	-19	19	2373	137	-19	19	2373	137	-19	19	2373	137	-19	19	2373	137	-19	19	2373	137	-19	19	2373	137	-19	19	2373	137	-19	19	2373	137	-19	19	2373	137	-19	19	2373	137	-19	19	2373
138	-15	15	2388	138	-15	15	2388	138	-15	15	2388	138	-15	15	2388	138	-15	15	2388	138	-15	15	2388	138	-15	15	2388	138	-15	15	2388	138	-15	15	2388	138	-15	15	2388	138	-15	15	2388	138	-15	15	2388	138	-15	15	2388	138	-15	15	2388
139	-15	15	2403	139	-15	15	2403	139	-15	15	2403	139	-15	15	2403	139	-15	15	2403	139	-15	15	2403	139	-15	15	2403	139	-15	15	2403	139	-15	15	2403	139	-15	15	2403	139	-15	15	2403	139	-15	15	2403	139	-15	15	2403	139	-15	15	2403
140	-14	14	2417	140	-14	14	2417	140	-14	14	2417	140	-14	14	2417	140	-14	14	2417	140	-14	14	2417	140	-14	14	2417	140	-14	14	2417	140	-14	14	2417	140	-14	14	2417	140	-14	14	2417	140	-14	14	2417	140	-14	14	2417	140	-14	14	2417
141	-13	13	2430	141	-13	13	2430	141	-13	13	2430	141	-13	13	2430	141	-13	13	2430	141	-13	13	2430	141	-13	13	2430	141	-13	13	2430	141	-13	13	2430	141	-13	13	2430	141	-13	13	2430	141	-13	13	2430	141	-13	13	2430	141	-13	13	2430
142	-13	13	2443	142	-13	13	2443	142	-13	13	2443	142	-13	13	2443	142	-13	13	2443	142	-13	13	2443	142	-13	13	2443	142	-13	13	2443	142	-13	13	2443	142	-13	13	2443	142	-13	13	2443	142	-13	13	2443	142	-13	13	2443	142	-13	13	2443
143	-13	13	2456	143	-13	13	2456	143	-13	13	2456	143	-13	13	2456	143	-13	13	2456	143	-13	13	2456	143	-13	13	2456	143	-13	13	2456	143	-13	13	2456	143	-13	13	2456	143	-13	13	2456	143	-13	13	2456	143	-13	13	2456	143	-13	13	2456
144	-17	17	2473	144	-17	17	2473	144	-17	17	2473	144	-17	17	2473	144	-17	17	2473	144	-17	17	2473	144	-17	17	2473	144	-17	17	2473	144	-17	17	2473	144	-17	17	2473	144	-17	17	2473	144	-17	17	2473	144	-17	17	2473	144	-17	17	2473
145	-19	19	2492	145	-19	19	2492	145	-19	19	2492	145	-19	19	2492	145	-19	19	2492	145	-19	19	2492	145	-19	19	2492	145	-19	19	2492	145	-19	19	2492	145	-19	19	2492	145	-19	19	2492	145	-19	19	2492	145	-19	19	2492	145	-19	19	2492
146	-13	13	2505	146	-13	13	2505	146	-13	13	2505	146	-13	13	2505	146	-13	13	2505	146	-13	13	2505	146	-13	13	2505	146	-13	13	2505	146	-13	13	2505	146	-13	13	2505	146	-13	13	2505	146	-13	13	2505	146	-13	13	2505	146	-13	13	2505
147	-19	19	2524	147	-19	19	2524	147	-19	19	2524	147	-19	19	2524	147	-19	19	2524	147	-19	19	2524	147	-19	19	2524	147	-19	19	2524	147	-19	19	2524	147	-19	19	2524	147	-19	19	2524	147	-19	19	2524	147	-19	19	2524	147	-19	19	2524
148	-15	15	2539	148	-15	15	2539	148	-15	15	2539	148	-15	15	2539	148	-15	15	2539	148	-15	15	2539	148	-15	15	2539	148	-15	15	2539	148	-15	15	2539	148	-15	15	2539	148	-15	15	2539	148	-15	15	2539	148	-15	15	2539	148	-15	15	2539
149	-224	26	2565	149	-224	26	2565	149	-224	26	2565	149	-224	26	2565	149	-224	26	2565	149	-224	26	2565	149	-224	26	2565	149	-224	26	2565	149	-224	26	2565	149	-224	26	2565	149	-224	26	2565	149	-224	26	2565	149	-224	26	2565	149	-224	26	2565
150	-115	16	2581	150	-115	16	2581	150	-115	16	2581	150	-115	16	2581	150	-115	16	2581	150	-115	16	2581	150	-115	16	2581	150	-115	16	2581	150	-115	16	2581	150	-115	16	2581	150	-115	16	2581	150	-115	16	2581	150	-115	16	2581	150	-115	16	2581
151	-19	19	2600	151	-19	19	2600	151	-19	19	2600	151	-19	19	2600	151	-19	19	2600	151	-19	19	2600	151	-19	19	2600	151	-19	19	2600	151	-19	19	2600	151	-19	19	2600	151	-19	19	2600	151	-19	19	2600	151	-19	19	2600	151	-19	19	2600
152	-13	13	2613	152	-13	13	2613	152	-13	13	2613	152	-13	13	2613	152	-13	13	2613	152	-13	13	2613	152	-13	13	2613	152	-13	13	2613	152	-13	13	2613	152	-13	13	2613	152	-13	13	2613	152	-13	13	2613	152	-13	13	2613	152	-13	13	2613
153	-113	14	2627	153	-113	14	2627	153	-113	14	2627	153	-113	14	2627	153	-113	14	2627	153	-113	14	2627	153	-113	14	2627	153	-113	14	2627	153	-113	14	2627	153	-113	14	2627	153	-113	14	2627	153	-113	14	2627	153	-113	14	2627	153	-113	14	2627
154	-328	31	2658	154	-328	31	2658	154	-328	31	2658	154	-328	31	2658	154	-328	31	2658	154	-328	31	2658	154	-328	31	2658	154	-328	31	2658	154	-328	31	2658	154	-328	31	2658	154	-328	31	2658	154	-328	31	2658	154	-328	31	2658	154	-328	31	2658
155	-16	16	2674	155	-16	16	2674	155	-16	16	2674	155	-16	16	2674	155	-16	16	2674	155	-16	16	2674	155	-16	16	2674	155	-16	16	2674	155	-16	16	2674	155	-16	16	2674	155	-16	16	2674	155	-16	16	2674	155	-16	16	2674	155	-16	16	2674
156	-14	14	2688	156	-14	14	2688	156	-14	14	2688	156	-14	14	2688	156	-14	14	2688	156	-14	14	2688	156	-14	14	2688	156	-14	14	2688	156	-14	14	2688	156	-14	14	2688	156	-14	14	2688	156	-14	14	2688	156	-14	14	2688	156	-14	14	2688
157	-117	18	2706	157	-117	18	2706	157	-117	18	2706	157	-117	18	2706	157	-117	18	2706	157	-117	18	2706	157	-117	18	2706	157	-117	18	2706	157	-117	18	2706	157	-117	18	2706	157	-117	18	2706	157	-117	18	2706	157	-117	18	2706	157	-117	18	2706
158	-17	17	2723	158	-17	17	2723	158	-17	17	2723	158	-17	17	2723	158	-17	17	2723	158	-17	17	2723	158	-17	17	2723	158	-17	17	2723	158	-17	17	2723	158	-17	17	2723	158	-17	17	2723	158	-17	17	2723	158	-17	17	2723	158	-17	17	2723
159	-15	15	2738	159	-15	15	2738	159	-15	15	2738	159	-15	15	2738	159	-15	15	2738	159	-15	15	2738	159	-15	15	2738	159	-15	15	2738	159	-15	15	2738	159	-15	15	2738	159	-15	15	2738	159	-15	15	2738	159	-15	15	2738	159	-15	15	2738
160	-15	15	2753	160	-15	15	2753	160	-15	15	2753	160	-15	15	2753	160	-15	15	2753	160	-15	15	2753	160	-15	15	2753	160	-15	15	2753	160	-15	15	2753	160	-15	15	2753	160	-15	15	2753	160	-15	15	2753	160	-15	15	2753	160	-15	15	2753
161	-13	13	2766	161	-13	13	2766	161	-13	13	2766	161	-13	13	2766	161	-13	13	2766	161	-13	13	2766	161	-13	13	2766	161	-13	13	2766	161	-13	13	2766	161	-13	13	2766	161	-13	13	2766	161	-13	13	2766	161	-13	13	2766	161	-13	13	2766
162	-231	33	2799	162	-231	33	2799	162	-231	33	2799	162	-231	33	2799	162	-231	33	2799	162	-231	33	2799	162	-231	33	2799	162	-231	33	2799	162	-231	33	2799	162	-231	33	2799	162	-231	33	2799	162	-231	33	2799	162	-231	33	2799	162	-231	33	2799
163	-13	13	2812	163	-13	13	2812	163	-13	13	2812	163	-13	13	2812	163	-13	13	2812	163	-13	13	2812	163	-13	13	2812	163	-13	13	2812	163	-13	13	2812	163	-13	13	2812	163	-13	13	2812	163	-13	13	2812	163	-13	13	2812	163	-13	13	2812
164	-13	13	2825	164	-13	13	2825	164	-13	13	2825	164	-13	13	2825	164	-13	13	2825	164	-13	13	2825	164	-13	13	2825	164	-13	13	2825	164	-13	13	2825	164	-13	13	2825	164	-13	13	2825	164	-13	13	2825	164	-13	13	2825	164	-13	13	2825
165	-13	13	2838	165	-13	13	2838	165	-13	13	2838	165	-13	13	2838	165	-13	13	2838	165	-13	13	2838	165	-13	13	2838	165	-13	13	2838	165	-13	13	2838	165	-13	13	2838	165	-13	13	2838	165	-13	13	2838	165	-13	13	2838	165	-13	13	2838
166	-226	28	2866	166	-226	28	2866	166	-226	28	2866	166	-226	28	2866	166	-226	28	2866	166	-226	28	2866	166	-226	28	2866	166	-226	28	2866	166	-226	28	2866	166	-226	28	2866	166	-226	28	2866	166	-226	28	2866	166	-226	28	2866	166	-226	28	2866
167	-15	15	2881	167	-15	15	2881	167	-15	15	2881	167	-15	15	2881	167	-15	15	2881	167	-15	15	2881	167	-15	15	2881	167	-15	15	2881	167	-15	15	2881	167	-15	15	2881	167	-15	15	2881	167	-15	15	2881	167	-15	15	2881	167	-15	15	2881
168	-13	13	2894	168	-13	13	2894	168	-13	13	2894	168	-13	13	2894	168	-13	13	2894	168	-13	13	2894	168	-13	13	2894	168	-13	13	2894	168	-13	13	2894	168	-13	13	2894	168	-13	13	2894	168	-13	13	2894	168	-13	13	2894	168	-13	13	2894
169	-216	18	2912	169	-216	18	2912	169	-216	18	2912	169	-216	18	2912	169	-216	18	2912	169	-216	18	2912	169	-216	18	2912	169	-216	18	2912	169	-216	18	2912	169	-216	18	2912	169	-216	18	2912	169	-216	18	2912	169	-216	18	2912	169	-216	18	2912
170	-13	13	2925	170	-13	13	2925	170	-13	13	2925	170	-13	13	2925	170	-13	13	2925	170	-13	13	2925	170	-13	13	2925	170	-13	13	2925	170	-13	13	2925	170	-13	13	2925	170	-13	13	2925	170	-13	13	2925	170	-13	13	2925	170	-13	13	2925
171	-16	16	2941	171	-16	16	2941	171	-16	16	2941	171	-16	16	2941	171	-16	16	2941	171	-16	16	2941	171	-16	16	2941	171	-16	16	2941	171	-16	16	2941	171	-16	16	2941	171	-16	16	2941	171	-16	16	2941	171	-16	16	2941	171	-16	16	2941
172	-245	47	2988	172	-245	47	2988	172	-245	47	2988	172	-245	47	2988	172	-245	47	2988	172	-245	47	2988	172	-245	47	2988	172	-245	47	2988	172	-245	47	2988	172	-245	47	2988	172	-245	47	2988	172	-245	47	2988	172	-245	47	2988	172	-245	47	2988
173	-19	19	3007	173	-19	19	3007	173	-19	19	3007	173	-19	19	3007	173	-19	19	3007	173	-19	19	3007	173	-19	19	3007	173	-19	19	3007	173	-19	19	3007	173	-19	19	3007	173	-19	19	3007	173	-19	19	3007	173	-19	19	3007	173	-19	19	3007
174	-13	13	3020	174	-13	13	3020	174	-13	13	3020	174	-13	13	3020	174	-13	13	3020	174	-13	13	3020	174	-13	13	3020	174	-13	13	3020	174	-13	13	3020	174	-13	13	3020	174	-13	13	3020	174	-13	13	3020	174	-13	13	3020	174	-13	13	3020
175	-126	27	3047	175	-126	27	3047	175	-126	27	3047	175	-126	27	3047	175	-126	27	3047	175	-126	27	3047	175	-126	27	3047	175	-126	27	3047	175	-126	27	3047	175	-126	27	3047	175	-126	27	3047	175	-126	27	3047	175	-126	27	3047	175	-126	27	3047
176	-17	17	3064	176	-17	17	3064	176	-17	17	3064	176	-17	17	3064	176	-17	17	3064	176	-17	17	3064	176	-17	17	3064	176	-17	17	3064	176	-17	17	3064	176	-17	17	3064	176	-17	17	3064	176	-17	17	3064	176	-17	17	3064	176	-17	17	3064
177	-17	17	3081	177	-17	17	3081	177	-17	17	3081	177	-17	17	3081	177	-17	17	3081	177	-17	17	3081	177	-17	17	3081	177	-17	17	3081	177	-17	17	3081	177	-17	17	3081	177	-17	17	3081	177	-17	17	3081	177	-17	17	3081	177	-17	17	3081
178	-15	15	3096	178	-15	15	3096	178	-15	15	3096	178	-15	15	3096	178	-15	15	3096	178	-15	15	3096	178	-15	15	3096	178	-15	15	3096	178	-15	15	3096	178	-15	15	3096	178	-15	15	3096	178	-15	15	3096	178	-15	15	3096	178	-15	15	3096
179	-116	17	3113	179	-116	17	3113	179	-116	17	3113	179	-116	17	3113	179	-116	17	3113	179	-116	17	3113	179	-116	17	3113	179	-116	17	3113	179	-116	17	3113	179	-116	17	3113	179	-116	17	3113	179	-116	17	3113	179	-116	17	3113	179	-116	17	3113
180	-13	13	3126	180	-13	13	3126	180	-13	13	3126	180	-13	13	3126	180	-13	13	3126	180	-13	13	3126	180	-13	13	3126	180	-13	13	3126	180	-13	13	3126	180	-13	13	3126	180	-13	13	3126	180	-13	13	3126	180	-13	13	3126	180	-13	13	3126
181	-229	31	3157	181	-229	31	3157	181	-229	31	3157	181	-229	31	3157	181	-229	31	3157	181	-229	31	3157	181	-229	31	3157	181	-229	31	3157	181	-229	31	3157	181	-229	31	3157	181	-229	31	3157	181	-229	31	3157	181	-229	31	3157	181	-229	31	3157
182	-13	13	3170	182	-13	13	3170	182	-13	13	3170	182	-13	13	3170	182	-13	13	3170	182	-13	13	3170	182	-13	13	3170	182	-13	13	3170	182	-13	13	3170	182	-13	13	3170	182	-13	13	3170	182	-13	13	3170	182	-13	13	3170	182	-13	13	3170
183	-19	19	3189	183	-19	19	3189	183	-19	19	3189	183	-19	19	3189	183	-19	19	3189	183	-19	19	3189	183	-19	19	3189	183	-19	19	3189	183	-19	19	3189	183	-19	19	3189	183	-19	19	3189	183	-19	19	3189	183	-19	19	3189	183	-19	19	3189
184	-13	13	3202	184	-13	13	3202	184	-13	13	3202	184	-13	13	3202	184	-13	13	3202	184	-13	13	3202	184	-13	13	3202	184	-13	13	3202	184	-13	13	3202	184	-13	13	3202	184	-13	13	3202	184	-13	13	3202	184	-13	13	3202	184	-13	13	3202
