Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
10	-316	118	2599	10	-316	118	2599	10	-316	118	2599	10	-316	118	2599	10	-316	118	2599	10	-316	118	2599	10	-316	118	2599	10	-316	118	2599	10	-316	118	2599	10	-316	118	2599	10	-316	118	2599	10	-316	118	2599	10	-316	118	2599	10	-316	118	2599	10	-316	118	2599	10	-316	118	2599	10	-316	118	2599	10	-316	118	2599	10	-316	118	2599	10	-316	118	2599	10	-316	118	2599	10	-316	118	2599	10	-316	118	2599	10	-316	118	2599	10	-316	118	2599
11	-153	153	2752	11	-153	153	2752	11	-153	153	2752	11	-153	153	2752	11	-153	153	2752	11	-153	153	2752	11	-153	153	2752	11	-153	153	2752	11	-153	153	2752	11	-153	153	2752	11	-153	153	2752	11	-153	153	2752	11	-153	153	2752	11	-153	153	2752	11	-153	153	2752	11	-153	153	2752	11	-153	153	2752	11	-153	153	2752	11	-153	153	2752	11	-153	153	2752	11	-153	153	2752	11	-153	153	2752	11	-153	153	2752	11	-153	153	2752	11	-153	153	2752
12	-51	51	2803	12	-51	51	2803	12	-51	51	2803	12	-51	51	2803	12	-51	51	2803	12	-51	51	2803	12	-51	51	2803	12	-51	51	2803	12	-51	51	2803	12	-51	51	2803	12	-51	51	2803	12	-51	51	2803	12	-51	51	2803	12	-51	51	2803	12	-51	51	2803	12	-51	51	2803	12	-51	51	2803	12	-51	51	2803	12	-51	51	2803	12	-51	51	2803	12	-51	51	2803	12	-51	51	2803	12	-51	51	2803	12	-51	51	2803	12	-51	51	2803
13	-259	160	2963	13	-259	160	2963	13	-259	160	2963	13	-259	160	2963	13	-259	160	2963	13	-259	160	2963	13	-259	160	2963	13	-259	160	2963	13	-259	160	2963	13	-259	160	2963	13	-259	160	2963	13	-259	160	2963	13	-259	160	2963	13	-259	160	2963	13	-259	160	2963	13	-259	160	2963	13	-259	160	2963	13	-259	160	2963	13	-259	160	2963	13	-259	160	2963	13	-259	160	2963	13	-259	160	2963	13	-259	160	2963	13	-259	160	2963	13	-259	160	2963
14	-86	86	3049	14	-86	86	3049	14	-86	86	3049	14	-86	86	3049	14	-86	86	3049	14	-86	86	3049	14	-86	86	3049	14	-86	86	3049	14	-86	86	3049	14	-86	86	3049	14	-86	86	3049	14	-86	86	3049	14	-86	86	3049	14	-86	86	3049	14	-86	86	3049	14	-86	86	3049	14	-86	86	3049	14	-86	86	3049	14	-86	86	3049	14	-86	86	3049	14	-86	86	3049	14	-86	86	3049	14	-86	86	3049	14	-86	86	3049	14	-86	86	3049
15	-415	217	3266	15	-415	217	3266	15	-415	217	3266	15	-415	217	3266	15	-415	217	3266	15	-415	217	3266	15	-415	217	3266	15	-415	217	3266	15	-415	217	3266	15	-415	217	3266	15	-415	217	3266	15	-415	217	3266	15	-415	217	3266	15	-415	217	3266	15	-415	217	3266	15	-415	217	3266	15	-415	217	3266	15	-415	217	3266	15	-415	217	3266	15	-415	217	3266	15	-415	217	3266	15	-415	217	3266	15	-415	217	3266	15	-415	217	3266	15	-415	217	3266
16	-89	89	3355	16	-89	89	3355	16	-89	89	3355	16	-89	89	3355	16	-89	89	3355	16	-89	89	3355	16	-89	89	3355	16	-89	89	3355	16	-89	89	3355	16	-89	89	3355	16	-89	89	3355	16	-89	89	3355	16	-89	89	3355	16	-89	89	3355	16	-89	89	3355	16	-89	89	3355	16	-89	89	3355	16	-89	89	3355	16	-89	89	3355	16	-89	89	3355	16	-89	89	3355	16	-89	89	3355	16	-89	89	3355	16	-89	89	3355	16	-89	89	3355
17	-352	154	3509	17	-352	154	3509	17	-352	154	3509	17	-352	154	3509	17	-352	154	3509	17	-352	154	3509	17	-352	154	3509	17	-352	154	3509	17	-352	154	3509	17	-352	154	3509	17	-352	154	3509	17	-352	154	3509	17	-352	154	3509	17	-352	154	3509	17	-352	154	3509	17	-352	154	3509	17	-352	154	3509	17	-352	154	3509	17	-352	154	3509	17	-352	154	3509	17	-352	154	3509	17	-352	154	3509	17	-352	154	3509	17	-352	154	3509	17	-352	154	3509
18	-59	59	3568	18	-59	59	3568	18	-59	59	3568	18	-59	59	3568	18	-59	59	3568	18	-59	59	3568	18	-59	59	3568	18	-59	59	3568	18	-59	59	3568	18	-59	59	3568	18	-59	59	3568	18	-59	59	3568	18	-59	59	3568	18	-59	59	3568	18	-59	59	3568	18	-59	59	3568	18	-59	59	3568	18	-59	59	3568	18	-59	59	3568	18	-59	59	3568	18	-59	59	3568	18	-59	59	3568	18	-59	59	3568	18	-59	59	3568	18	-59	59	3568
19	-211	112	3680	19	-211	112	3680	19	-211	112	3680	19	-211	112	3680	19	-211	112	3680	19	-211	112	3680	19	-211	112	3680	19	-211	112	3680	19	-211	112	3680	19	-211	112	3680	19	-211	112	3680	19	-211	112	3680	19	-211	112	3680	19	-211	112	3680	19	-211	112	3680	19	-211	112	3680	19	-211	112	3680	19	-211	112	3680	19	-211	112	3680	19	-211	112	3680	19	-211	112	3680	19	-211	112	3680	19	-211	112	3680	19	-211	112	3680	19	-211	112	3680
20	-238	139	3819	20	-238	139	3819	20	-238	139	3819	20	-238	139	3819	20	-238	139	3819	20	-238	139	3819	20	-238	139	3819	20	-238	139	3819	20	-238	139	3819	20	-238	139	3819	20	-238	139	3819	20	-238	139	3819	20	-238	139	3819	20	-238	139	3819	20	-238	139	3819	20	-238	139	3819	20	-238	139	3819	20	-238	139	3819	20	-238	139	3819	20	-238	139	3819	20	-238	139	3819	20	-238	139	3819	20	-238	139	3819	20	-238	139	3819	20	-238	139	3819
21	-312	114	3933	21	-312	114	3933	21	-312	114	3933	21	-312	114	3933	21	-312	114	3933	21	-312	114	3933	21	-312	114	3933	21	-312	114	3933	21	-312	114	3933	21	-312	114	3933	21	-312	114	3933	21	-312	114	3933	21	-312	114	3933	21	-312	114	3933	21	-312	114	3933	21	-312	114	3933	21	-312	114	3933	21	-312	114	3933	21	-312	114	3933	21	-312	114	3933	21	-312	114	3933	21	-312	114	3933	21	-312	114	3933	21	-312	114	3933	21	-312	114	3933
22	-92	92	4025	22	-92	92	4025	22	-92	92	4025	22	-92	92	4025	22	-92	92	4025	22	-92	92	4025	22	-92	92	4025	22	-92	92	4025	22	-92	92	4025	22	-92	92	4025	22	-92	92	4025	22	-92	92	4025	22	-92	92	4025	22	-92	92	4025	22	-92	92	4025	22	-92	92	4025	22	-92	92	4025	22	-92	92	4025	22	-92	92	4025	22	-92	92	4025	22	-92	92	4025	22	-92	92	4025	22	-92	92	4025	22	-92	92	4025	22	-92	92	4025
23	-485	188	4213	23	-485	188	4213	23	-485	188	4213	23	-485	188	4213	23	-485	188	4213	23	-485	188	4213	23	-485	188	4213	23	-485	188	4213	23	-485	188	4213	23	-485	188	4213	23	-485	188	4213	23	-485	188	4213	23	-485	188	4213	23	-485	188	4213	23	-485	188	4213	23	-485	188	4213	23	-485	188	4213	23	-485	188	4213	23	-485	188	4213	23	-485	188	4213	23	-485	188	4213	23	-485	188	4213	23	-485	188	4213	23	-485	188	4213	23	-485	188	4213
24	-60	60	4273	24	-60	60	4273	24	-60	60	4273	24	-60	60	4273	24	-60	60	4273	24	-60	60	4273	24	-60	60	4273	24	-60	60	4273	24	-60	60	4273	24	-60	60	4273	24	-60	60	4273	24	-60	60	4273	24	-60	60	4273	24	-60	60	4273	24	-60	60	4273	24	-60	60	4273	24	-60	60	4273	24	-60	60	4273	24	-60	60	4273	24	-60	60	4273	24	-60	60	4273	24	-60	60	4273	24	-60	60	4273	24	-60	60	4273	24	-60	60	4273
25	-96	96	4369	25	-96	96	4369	25	-96	96	4369	25	-96	96	4369	25	-96	96	4369	25	-96	96	4369	25	-96	96	4369	25	-96	96	4369	25	-96	96	4369	25	-96	96	4369	25	-96	96	4369	25	-96	96	4369	25	-96	96	4369	25	-96	96	4369	25	-96	96	4369	25	-96	96	4369	25	-96	96	4369	25	-96	96	4369	25	-96	96	4369	25	-96	96	4369	25	-96	96	4369	25	-96	96	4369	25	-96	96	4369	25	-96	96	4369	25	-96	96	4369
26	-274	76	4445	26	-274	76	4445	26	-274	76	4445	26	-274	76	4445	26	-274	76	4445	26	-274	76	4445	26	-274	76	4445	26	-274	76	4445	26	-274	76	4445	26	-274	76	4445	26	-274	76	4445	26	-274	76	4445	26	-274	76	4445	26	-274	76	4445	26	-274	76	4445	26	-274	76	4445	26	-274	76	4445	26	-274	76	4445	26	-274	76	4445	26	-274	76	4445	26	-274	76	4445	26	-274	76	4445	26	-274	76	4445	26	-274	76	4445	26	-274	76	4445
27	-25	25	4470	27	-25	25	4470	27	-25	25	4470	27	-25	25	4470	27	-25	25	4470	27	-25	25	4470	27	-25	25	4470	27	-25	25	4470	27	-25	25	4470	27	-25	25	4470	27	-25	25	4470	27	-25	25	4470	27	-25	25	4470	27	-25	25	4470	27	-25	25	4470	27	-25	25	4470	27	-25	25	4470	27	-25	25	4470	27	-25	25	4470	27	-25	25	4470	27	-25	25	4470	27	-25	25	4470	27	-25	25	4470	27	-25	25	4470	27	-25	25	4470
28	-114	114	4584	28	-114	114	4584	28	-114	114	4584	28	-114	114	4584	28	-114	114	4584	28	-114	114	4584	28	-114	114	4584	28	-114	114	4584	28	-114	114	4584	28	-114	114	4584	28	-114	114	4584	28	-114	114	4584	28	-114	114	4584	28	-114	114	4584	28	-114	114	4584	28	-114	114	4584	28	-114	114	4584	28	-114	114	4584	28	-114	114	4584	28	-114	114	4584	28	-114	114	4584	28	-114	114	4584	28	-114	114	4584	28	-114	114	4584	28	-114	114	4584
29	-156	57	4641	29	-156	57	4641	29	-156	57	4641	29	-156	57	4641	29	-156	57	4641	29	-156	57	4641	29	-156	57	4641	29	-156	57	4641	29	-156	57	4641	29	-156	57	4641	29	-156	57	4641	29	-156	57	4641	29	-156	57	4641	29	-156	57	4641	29	-156	57	4641	29	-156	57	4641	29	-156	57	4641	29	-156	57	4641	29	-156	57	4641	29	-156	57	4641	29	-156	57	4641	29	-156	57	4641	29	-156	57	4641	29	-156	57	4641	29	-156	57	4641
30	-444	147	4788	30	-444	147	4788	30	-444	147	4788	30	-444	147	4788	30	-444	147	4788	30	-444	147	4788	30	-444	147	4788	30	-444	147	4788	30	-444	147	4788	30	-444	147	4788	30	-444	147	4788	30	-444	147	4788	30	-444	147	4788	30	-444	147	4788	30	-444	147	4788	30	-444	147	4788	30	-444	147	4788	30	-444	147	4788	30	-444	147	4788	30	-444	147	4788	30	-444	147	4788	30	-444	147	4788	30	-444	147	4788	30	-444	147	4788	30	-444	147	4788
31	-56	56	4844	31	-56	56	4844	31	-56	56	4844	31	-56	56	4844	31	-56	56	4844	31	-56	56	4844	31	-56	56	4844	31	-56	56	4844	31	-56	56	4844	31	-56	56	4844	31	-56	56	4844	31	-56	56	4844	31	-56	56	4844	31	-56	56	4844	31	-56	56	4844	31	-56	56	4844	31	-56	56	4844	31	-56	56	4844	31	-56	56	4844	31	-56	56	4844	31	-56	56	4844	31	-56	56	4844	31	-56	56	4844	31	-56	56	4844	31	-56	56	4844
32	-48	48	4892	32	-48	48	4892	32	-48	48	4892	32	-48	48	4892	32	-48	48	4892	32	-48	48	4892	32	-48	48	4892	32	-48	48	4892	32	-48	48	4892	32	-48	48	4892	32	-48	48	4892	32	-48	48	4892	32	-48	48	4892	32	-48	48	4892	32	-48	48	4892	32	-48	48	4892	32	-48	48	4892	32	-48	48	4892	32	-48	48	4892	32	-48	48	4892	32	-48	48	4892	32	-48	48	4892	32	-48	48	4892	32	-48	48	4892	32	-48	48	4892
33	-186	87	4979	33	-186	87	4979	33	-186	87	4979	33	-186	87	4979	33	-186	87	4979	33	-186	87	4979	33	-186	87	4979	33	-186	87	4979	33	-186	87	4979	33	-186	87	4979	33	-186	87	4979	33	-186	87	4979	33	-186	87	4979	33	-186	87	4979	33	-186	87	4979	33	-186	87	4979	33	-186	87	4979	33	-186	87	4979	33	-186	87	4979	33	-186	87	4979	33	-186	87	4979	33	-186	87	4979	33	-186	87	4979	33	-186	87	4979	33	-186	87	4979
34	-59	59	5038	34	-59	59	5038	34	-59	59	5038	34	-59	59	5038	34	-59	59	5038	34	-59	59	5038	34	-59	59	5038	34	-59	59	5038	34	-59	59	5038	34	-59	59	5038	34	-59	59	5038	34	-59	59	5038	34	-59	59	5038	34	-59	59	5038	34	-59	59	5038	34	-59	59	5038	34	-59	59	5038	34	-59	59	5038	34	-59	59	5038	34	-59	59	5038	34	-59	59	5038	34	-59	59	5038	34	-59	59	5038	34	-59	59	5038	34	-59	59	5038
35	-55	55	5093	35	-55	55	5093	35	-55	55	5093	35	-55	55	5093	35	-55	55	5093	35	-55	55	5093	35	-55	55	5093	35	-55	55	5093	35	-55	55	5093	35	-55	55	5093	35	-55	55	5093	35	-55	55	5093	35	-55	55	5093	35	-55	55	5093	35	-55	55	5093	35	-55	55	5093	35	-55	55	5093	35	-55	55	5093	35	-55	55	5093	35	-55	55	5093	35	-55	55	5093	35	-55	55	5093	35	-55	55	5093	35	-55	55	5093	35	-55	55	5093
36	-65	65	5158	36	-65	65	5158	36	-65	65	5158	36	-65	65	5158	36	-65	65	5158	36	-65	65	5158	36	-65	65	5158	36	-65	65	5158	36	-65	65	5158	36	-65	65	5158	36	-65	65	5158	36	-65	65	5158	36	-65	65	5158	36	-65	65	5158	36	-65	65	5158	36	-65	65	5158	36	-65	65	5158	36	-65	65	5158	36	-65	65	5158	36	-65	65	5158	36	-65	65	5158	36	-65	65	5158	36	-65	65	5158	36	-65	65	5158	36	-65	65	5158
37	-30	30	5188	37	-30	30	5188	37	-30	30	5188	37	-30	30	5188	37	-30	30	5188	37	-30	30	5188	37	-30	30	5188	37	-30	30	5188	37	-30	30	5188	37	-30	30	5188	37	-30	30	5188	37	-30	30	5188	37	-30	30	5188	37	-30	30	5188	37	-30	30	5188	37	-30	30	5188	37	-30	30	5188	37	-30	30	5188	37	-30	30	5188	37	-30	30	5188	37	-30	30	5188	37	-30	30	5188	37	-30	30	5188	37	-30	30	5188	37	-30	30	5188
38	-235	136	5324	38	-235	136	5324	38	-235	136	5324	38	-235	136	5324	38	-235	136	5324	38	-235	136	5324	38	-235	136	5324	38	-235	136	5324	38	-235	136	5324	38	-235	136	5324	38	-235	136	5324	38	-235	136	5324	38	-235	136	5324	38	-235	136	5324	38	-235	136	5324	38	-235	136	5324	38	-235	136	5324	38	-235	136	5324	38	-235	136	5324	38	-235	136	5324	38	-235	136	5324	38	-235	136	5324	38	-235	136	5324	38	-235	136	5324	38	-235	136	5324
39	-27	27	5351	39	-27	27	5351	39	-27	27	5351	39	-27	27	5351	39	-27	27	5351	39	-27	27	5351	39	-27	27	5351	39	-27	27	5351	39	-27	27	5351	39	-27	27	5351	39	-27	27	5351	39	-27	27	5351	39	-27	27	5351	39	-27	27	5351	39	-27	27	5351	39	-27	27	5351	39	-27	27	5351	39	-27	27	5351	39	-27	27	5351	39	-27	27	5351	39	-27	27	5351	39	-27	27	5351	39	-27	27	5351	39	-27	27	5351	39	-27	27	5351
40	-75	75	5426	40	-75	75	5426	40	-75	75	5426	40	-75	75	5426	40	-75	75	5426	40	-75	75	5426	40	-75	75	5426	40	-75	75	5426	40	-75	75	5426	40	-75	75	5426	40	-75	75	5426	40	-75	75	5426	40	-75	75	5426	40	-75	75	5426	40	-75	75	5426	40	-75	75	5426	40	-75	75	5426	40	-75	75	5426	40	-75	75	5426	40	-75	75	5426	40	-75	75	5426	40	-75	75	5426	40	-75	75	5426	40	-75	75	5426	40	-75	75	5426
41	-58	58	5484	41	-58	58	5484	41	-58	58	5484	41	-58	58	5484	41	-58	58	5484	41	-58	58	5484	41	-58	58	5484	41	-58	58	5484	41	-58	58	5484	41	-58	58	5484	41	-58	58	5484	41	-58	58	5484	41	-58	58	5484	41	-58	58	5484	41	-58	58	5484	41	-58	58	5484	41	-58	58	5484	41	-58	58	5484	41	-58	58	5484	41	-58	58	5484	41	-58	58	5484	41	-58	58	5484	41	-58	58	5484	41	-58	58	5484	41	-58	58	5484
42	-53	53	5537	42	-53	53	5537	42	-53	53	5537	42	-53	53	5537	42	-53	53	5537	42	-53	53	5537	42	-53	53	5537	42	-53	53	5537	42	-53	53	5537	42	-53	53	5537	42	-53	53	5537	42	-53	53	5537	42	-53	53	5537	42	-53	53	5537	42	-53	53	5537	42	-53	53	5537	42	-53	53	5537	42	-53	53	5537	42	-53	53	5537	42	-53	53	5537	42	-53	53	5537	42	-53	53	5537	42	-53	53	5537	42	-53	53	5537	42	-53	53	5537
43	-173	74	5611	43	-173	74	5611	43	-173	74	5611	43	-173	74	5611	43	-173	74	5611	43	-173	74	5611	43	-173	74	5611	43	-173	74	5611	43	-173	74	5611	43	-173	74	5611	43	-173	74	5611	43	-173	74	5611	43	-173	74	5611	43	-173	74	5611	43	-173	74	5611	43	-173	74	5611	43	-173	74	5611	43	-173	74	5611	43	-173	74	5611	43	-173	74	5611	43	-173	74	5611	43	-173	74	5611	43	-173	74	5611	43	-173	74	5611	43	-173	74	5611
44	-204	105	5716	44	-204	105	5716	44	-204	105	5716	44	-204	105	5716	44	-204	105	5716	44	-204	105	5716	44	-204	105	5716	44	-204	105	5716	44	-204	105	5716	44	-204	105	5716	44	-204	105	5716	44	-204	105	5716	44	-204	105	5716	44	-204	105	5716	44	-204	105	5716	44	-204	105	5716	44	-204	105	5716	44	-204	105	5716	44	-204	105	5716	44	-204	105	5716	44	-204	105	5716	44	-204	105	5716	44	-204	105	5716	44	-204	105	5716	44	-204	105	5716
45	-50	50	5766	45	-50	50	5766	45	-50	50	5766	45	-50	50	5766	45	-50	50	5766	45	-50	50	5766	45	-50	50	5766	45	-50	50	5766	45	-50	50	5766	45	-50	50	5766	45	-50	50	5766	45	-50	50	5766	45	-50	50	5766	45	-50	50	5766	45	-50	50	5766	45	-50	50	5766	45	-50	50	5766	45	-50	50	5766	45	-50	50	5766	45	-50	50	5766	45	-50	50	5766	45	-50	50	5766	45	-50	50	5766	45	-50	50	5766	45	-50	50	5766
46	-58	58	5824	46	-58	58	5824	46	-58	58	5824	46	-58	58	5824	46	-58	58	5824	46	-58	58	5824	46	-58	58	5824	46	-58	58	5824	46	-58	58	5824	46	-58	58	5824	46	-58	58	5824	46	-58	58	5824	46	-58	58	5824	46	-58	58	5824	46	-58	58	5824	46	-58	58	5824	46	-58	58	5824	46	-58	58	5824	46	-58	58	5824	46	-58	58	5824	46	-58	58	5824	46	-58	58	5824	46	-58	58	5824	46	-58	58	5824	46	-58	58	5824
47	-31	31	5855	47	-31	31	5855	47	-31	31	5855	47	-31	31	5855	47	-31	31	5855	47	-31	31	5855	47	-31	31	5855	47	-31	31	5855	47	-31	31	5855	47	-31	31	5855	47	-31	31	5855	47	-31	31	5855	47	-31	31	5855	47	-31	31	5855	47	-31	31	5855	47	-31	31	5855	47	-31	31	5855	47	-31	31	5855	47	-31	31	5855	47	-31	31	5855	47	-31	31	5855	47	-31	31	5855	47	-31	31	5855	47	-31	31	5855	47	-31	31	5855
48	-148	49	5904	48	-148	49	5904	48	-148	49	5904	48	-148	49	5904	48	-148	49	5904	48	-148	49	5904	48	-148	49	5904	48	-148	49	5904	48	-148	49	5904	48	-148	49	5904	48	-148	49	5904	48	-148	49	5904	48	-148	49	5904	48	-148	49	5904	48	-148	49	5904	48	-148	49	5904	48	-148	49	5904	48	-148	49	5904	48	-148	49	5904	48	-148	49	5904	48	-148	49	5904	48	-148	49	5904	48	-148	49	5904	48	-148	49	5904	48	-148	49	5904
49	-46	46	5950	49	-46	46	5950	49	-46	46	5950	49	-46	46	5950	49	-46	46	5950	49	-46	46	5950	49	-46	46	5950	49	-46	46	5950	49	-46	46	5950	49	-46	46	5950	49	-46	46	5950	49	-46	46	5950	49	-46	46	5950	49	-46	46	5950	49	-46	46	5950	49	-46	46	5950	49	-46	46	5950	49	-46	46	5950	49	-46	46	5950	49	-46	46	5950	49	-46	46	5950	49	-46	46	5950	49	-46	46	5950	49	-46	46	5950	49	-46	46	5950
50	-91	91	6041	50	-91	91	6041	50	-91	91	6041	50	-91	91	6041	50	-91	91	6041	50	-91	91	6041	50	-91	91	6041	50	-91	91	6041	50	-91	91	6041	50	-91	91	6041	50	-91	91	6041	50	-91	91	6041	50	-91	91	6041	50	-91	91	6041	50	-91	91	6041	50	-91	91	6041	50	-91	91	6041	50	-91	91	6041	50	-91	91	6041	50	-91	91	6041	50	-91	91	6041	50	-91	91	6041	50	-91	91	6041	50	-91	91	6041	50	-91	91	6041
