Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
25	-35	35	4458	25	-35	35	4458	25	-35	35	4458	25	-35	35	4458	25	-35	35	4458	25	-35	35	4458	25	-35	35	4458	25	-35	35	4458	25	-35	35	4458	25	-35	35	4458	25	-35	35	4458	25	-35	35	4458	25	-35	35	4458	25	-35	35	4458	25	-35	35	4458	25	-35	35	4458	25	-35	35	4458	25	-35	35	4458	25	-35	35	4458	25	-35	35	4458	25	-35	35	4458	25	-35	35	4458
26	-101	101	4559	26	-101	101	4559	26	-101	101	4559	26	-101	101	4559	26	-101	101	4559	26	-101	101	4559	26	-101	101	4559	26	-101	101	4559	26	-101	101	4559	26	-101	101	4559	26	-101	101	4559	26	-101	101	4559	26	-101	101	4559	26	-101	101	4559	26	-101	101	4559	26	-101	101	4559	26	-101	101	4559	26	-101	101	4559	26	-101	101	4559	26	-101	101	4559	26	-101	101	4559	26	-101	101	4559
27	-199	100	4659	27	-199	100	4659	27	-199	100	4659	27	-199	100	4659	27	-199	100	4659	27	-199	100	4659	27	-199	100	4659	27	-199	100	4659	27	-199	100	4659	27	-199	100	4659	27	-199	100	4659	27	-199	100	4659	27	-199	100	4659	27	-199	100	4659	27	-199	100	4659	27	-199	100	4659	27	-199	100	4659	27	-199	100	4659	27	-199	100	4659	27	-199	100	4659	27	-199	100	4659	27	-199	100	4659
28	-45	45	4704	28	-45	45	4704	28	-45	45	4704	28	-45	45	4704	28	-45	45	4704	28	-45	45	4704	28	-45	45	4704	28	-45	45	4704	28	-45	45	4704	28	-45	45	4704	28	-45	45	4704	28	-45	45	4704	28	-45	45	4704	28	-45	45	4704	28	-45	45	4704	28	-45	45	4704	28	-45	45	4704	28	-45	45	4704	28	-45	45	4704	28	-45	45	4704	28	-45	45	4704	28	-45	45	4704
29	-47	47	4751	29	-47	47	4751	29	-47	47	4751	29	-47	47	4751	29	-47	47	4751	29	-47	47	4751	29	-47	47	4751	29	-47	47	4751	29	-47	47	4751	29	-47	47	4751	29	-47	47	4751	29	-47	47	4751	29	-47	47	4751	29	-47	47	4751	29	-47	47	4751	29	-47	47	4751	29	-47	47	4751	29	-47	47	4751	29	-47	47	4751	29	-47	47	4751	29	-47	47	4751	29	-47	47	4751
30	-183	84	4835	30	-183	84	4835	30	-183	84	4835	30	-183	84	4835	30	-183	84	4835	30	-183	84	4835	30	-183	84	4835	30	-183	84	4835	30	-183	84	4835	30	-183	84	4835	30	-183	84	4835	30	-183	84	4835	30	-183	84	4835	30	-183	84	4835	30	-183	84	4835	30	-183	84	4835	30	-183	84	4835	30	-183	84	4835	30	-183	84	4835	30	-183	84	4835	30	-183	84	4835	30	-183	84	4835
31	-263	164	4999	31	-263	164	4999	31	-263	164	4999	31	-263	164	4999	31	-263	164	4999	31	-263	164	4999	31	-263	164	4999	31	-263	164	4999	31	-263	164	4999	31	-263	164	4999	31	-263	164	4999	31	-263	164	4999	31	-263	164	4999	31	-263	164	4999	31	-263	164	4999	31	-263	164	4999	31	-263	164	4999	31	-263	164	4999	31	-263	164	4999	31	-263	164	4999	31	-263	164	4999	31	-263	164	4999
32	-181	82	5081	32	-181	82	5081	32	-181	82	5081	32	-181	82	5081	32	-181	82	5081	32	-181	82	5081	32	-181	82	5081	32	-181	82	5081	32	-181	82	5081	32	-181	82	5081	32	-181	82	5081	32	-181	82	5081	32	-181	82	5081	32	-181	82	5081	32	-181	82	5081	32	-181	82	5081	32	-181	82	5081	32	-181	82	5081	32	-181	82	5081	32	-181	82	5081	32	-181	82	5081	32	-181	82	5081
33	-64	64	5145	33	-64	64	5145	33	-64	64	5145	33	-64	64	5145	33	-64	64	5145	33	-64	64	5145	33	-64	64	5145	33	-64	64	5145	33	-64	64	5145	33	-64	64	5145	33	-64	64	5145	33	-64	64	5145	33	-64	64	5145	33	-64	64	5145	33	-64	64	5145	33	-64	64	5145	33	-64	64	5145	33	-64	64	5145	33	-64	64	5145	33	-64	64	5145	33	-64	64	5145	33	-64	64	5145
34	-59	59	5204	34	-59	59	5204	34	-59	59	5204	34	-59	59	5204	34	-59	59	5204	34	-59	59	5204	34	-59	59	5204	34	-59	59	5204	34	-59	59	5204	34	-59	59	5204	34	-59	59	5204	34	-59	59	5204	34	-59	59	5204	34	-59	59	5204	34	-59	59	5204	34	-59	59	5204	34	-59	59	5204	34	-59	59	5204	34	-59	59	5204	34	-59	59	5204	34	-59	59	5204	34	-59	59	5204
35	-41	41	5245	35	-41	41	5245	35	-41	41	5245	35	-41	41	5245	35	-41	41	5245	35	-41	41	5245	35	-41	41	5245	35	-41	41	5245	35	-41	41	5245	35	-41	41	5245	35	-41	41	5245	35	-41	41	5245	35	-41	41	5245	35	-41	41	5245	35	-41	41	5245	35	-41	41	5245	35	-41	41	5245	35	-41	41	5245	35	-41	41	5245	35	-41	41	5245	35	-41	41	5245	35	-41	41	5245
36	-71	71	5316	36	-71	71	5316	36	-71	71	5316	36	-71	71	5316	36	-71	71	5316	36	-71	71	5316	36	-71	71	5316	36	-71	71	5316	36	-71	71	5316	36	-71	71	5316	36	-71	71	5316	36	-71	71	5316	36	-71	71	5316	36	-71	71	5316	36	-71	71	5316	36	-71	71	5316	36	-71	71	5316	36	-71	71	5316	36	-71	71	5316	36	-71	71	5316	36	-71	71	5316	36	-71	71	5316
37	-429	132	5448	37	-429	132	5448	37	-429	132	5448	37	-429	132	5448	37	-429	132	5448	37	-429	132	5448	37	-429	132	5448	37	-429	132	5448	37	-429	132	5448	37	-429	132	5448	37	-429	132	5448	37	-429	132	5448	37	-429	132	5448	37	-429	132	5448	37	-429	132	5448	37	-429	132	5448	37	-429	132	5448	37	-429	132	5448	37	-429	132	5448	37	-429	132	5448	37	-429	132	5448	37	-429	132	5448
38	-39	39	5487	38	-39	39	5487	38	-39	39	5487	38	-39	39	5487	38	-39	39	5487	38	-39	39	5487	38	-39	39	5487	38	-39	39	5487	38	-39	39	5487	38	-39	39	5487	38	-39	39	5487	38	-39	39	5487	38	-39	39	5487	38	-39	39	5487	38	-39	39	5487	38	-39	39	5487	38	-39	39	5487	38	-39	39	5487	38	-39	39	5487	38	-39	39	5487	38	-39	39	5487	38	-39	39	5487
39	-30	30	5517	39	-30	30	5517	39	-30	30	5517	39	-30	30	5517	39	-30	30	5517	39	-30	30	5517	39	-30	30	5517	39	-30	30	5517	39	-30	30	5517	39	-30	30	5517	39	-30	30	5517	39	-30	30	5517	39	-30	30	5517	39	-30	30	5517	39	-30	30	5517	39	-30	30	5517	39	-30	30	5517	39	-30	30	5517	39	-30	30	5517	39	-30	30	5517	39	-30	30	5517	39	-30	30	5517
40	-86	86	5603	40	-86	86	5603	40	-86	86	5603	40	-86	86	5603	40	-86	86	5603	40	-86	86	5603	40	-86	86	5603	40	-86	86	5603	40	-86	86	5603	40	-86	86	5603	40	-86	86	5603	40	-86	86	5603	40	-86	86	5603	40	-86	86	5603	40	-86	86	5603	40	-86	86	5603	40	-86	86	5603	40	-86	86	5603	40	-86	86	5603	40	-86	86	5603	40	-86	86	5603	40	-86	86	5603
41	-198	99	5702	41	-198	99	5702	41	-198	99	5702	41	-198	99	5702	41	-198	99	5702	41	-198	99	5702	41	-198	99	5702	41	-198	99	5702	41	-198	99	5702	41	-198	99	5702	41	-198	99	5702	41	-198	99	5702	41	-198	99	5702	41	-198	99	5702	41	-198	99	5702	41	-198	99	5702	41	-198	99	5702	41	-198	99	5702	41	-198	99	5702	41	-198	99	5702	41	-198	99	5702	41	-198	99	5702
42	-49	49	5751	42	-49	49	5751	42	-49	49	5751	42	-49	49	5751	42	-49	49	5751	42	-49	49	5751	42	-49	49	5751	42	-49	49	5751	42	-49	49	5751	42	-49	49	5751	42	-49	49	5751	42	-49	49	5751	42	-49	49	5751	42	-49	49	5751	42	-49	49	5751	42	-49	49	5751	42	-49	49	5751	42	-49	49	5751	42	-49	49	5751	42	-49	49	5751	42	-49	49	5751	42	-49	49	5751
43	-147	48	5799	43	-147	48	5799	43	-147	48	5799	43	-147	48	5799	43	-147	48	5799	43	-147	48	5799	43	-147	48	5799	43	-147	48	5799	43	-147	48	5799	43	-147	48	5799	43	-147	48	5799	43	-147	48	5799	43	-147	48	5799	43	-147	48	5799	43	-147	48	5799	43	-147	48	5799	43	-147	48	5799	43	-147	48	5799	43	-147	48	5799	43	-147	48	5799	43	-147	48	5799	43	-147	48	5799
44	-73	73	5872	44	-73	73	5872	44	-73	73	5872	44	-73	73	5872	44	-73	73	5872	44	-73	73	5872	44	-73	73	5872	44	-73	73	5872	44	-73	73	5872	44	-73	73	5872	44	-73	73	5872	44	-73	73	5872	44	-73	73	5872	44	-73	73	5872	44	-73	73	5872	44	-73	73	5872	44	-73	73	5872	44	-73	73	5872	44	-73	73	5872	44	-73	73	5872	44	-73	73	5872	44	-73	73	5872
45	-26	26	5898	45	-26	26	5898	45	-26	26	5898	45	-26	26	5898	45	-26	26	5898	45	-26	26	5898	45	-26	26	5898	45	-26	26	5898	45	-26	26	5898	45	-26	26	5898	45	-26	26	5898	45	-26	26	5898	45	-26	26	5898	45	-26	26	5898	45	-26	26	5898	45	-26	26	5898	45	-26	26	5898	45	-26	26	5898	45	-26	26	5898	45	-26	26	5898	45	-26	26	5898	45	-26	26	5898
46	-60	60	5958	46	-60	60	5958	46	-60	60	5958	46	-60	60	5958	46	-60	60	5958	46	-60	60	5958	46	-60	60	5958	46	-60	60	5958	46	-60	60	5958	46	-60	60	5958	46	-60	60	5958	46	-60	60	5958	46	-60	60	5958	46	-60	60	5958	46	-60	60	5958	46	-60	60	5958	46	-60	60	5958	46	-60	60	5958	46	-60	60	5958	46	-60	60	5958	46	-60	60	5958	46	-60	60	5958
47	-388	91	6049	47	-388	91	6049	47	-388	91	6049	47	-388	91	6049	47	-388	91	6049	47	-388	91	6049	47	-388	91	6049	47	-388	91	6049	47	-388	91	6049	47	-388	91	6049	47	-388	91	6049	47	-388	91	6049	47	-388	91	6049	47	-388	91	6049	47	-388	91	6049	47	-388	91	6049	47	-388	91	6049	47	-388	91	6049	47	-388	91	6049	47	-388	91	6049	47	-388	91	6049	47	-388	91	6049
48	-205	106	6155	48	-205	106	6155	48	-205	106	6155	48	-205	106	6155	48	-205	106	6155	48	-205	106	6155	48	-205	106	6155	48	-205	106	6155	48	-205	106	6155	48	-205	106	6155	48	-205	106	6155	48	-205	106	6155	48	-205	106	6155	48	-205	106	6155	48	-205	106	6155	48	-205	106	6155	48	-205	106	6155	48	-205	106	6155	48	-205	106	6155	48	-205	106	6155	48	-205	106	6155	48	-205	106	6155
49	-33	33	6188	49	-33	33	6188	49	-33	33	6188	49	-33	33	6188	49	-33	33	6188	49	-33	33	6188	49	-33	33	6188	49	-33	33	6188	49	-33	33	6188	49	-33	33	6188	49	-33	33	6188	49	-33	33	6188	49	-33	33	6188	49	-33	33	6188	49	-33	33	6188	49	-33	33	6188	49	-33	33	6188	49	-33	33	6188	49	-33	33	6188	49	-33	33	6188	49	-33	33	6188	49	-33	33	6188
50	-64	64	6252	50	-64	64	6252	50	-64	64	6252	50	-64	64	6252	50	-64	64	6252	50	-64	64	6252	50	-64	64	6252	50	-64	64	6252	50	-64	64	6252	50	-64	64	6252	50	-64	64	6252	50	-64	64	6252	50	-64	64	6252	50	-64	64	6252	50	-64	64	6252	50	-64	64	6252	50	-64	64	6252	50	-64	64	6252	50	-64	64	6252	50	-64	64	6252	50	-64	64	6252	50	-64	64	6252
51	-159	60	6312	51	-159	60	6312	51	-159	60	6312	51	-159	60	6312	51	-159	60	6312	51	-159	60	6312	51	-159	60	6312	51	-159	60	6312	51	-159	60	6312	51	-159	60	6312	51	-159	60	6312	51	-159	60	6312	51	-159	60	6312	51	-159	60	6312	51	-159	60	6312	51	-159	60	6312	51	-159	60	6312	51	-159	60	6312	51	-159	60	6312	51	-159	60	6312	51	-159	60	6312	51	-159	60	6312
52	-176	77	6389	52	-176	77	6389	52	-176	77	6389	52	-176	77	6389	52	-176	77	6389	52	-176	77	6389	52	-176	77	6389	52	-176	77	6389	52	-176	77	6389	52	-176	77	6389	52	-176	77	6389	52	-176	77	6389	52	-176	77	6389	52	-176	77	6389	52	-176	77	6389	52	-176	77	6389	52	-176	77	6389	52	-176	77	6389	52	-176	77	6389	52	-176	77	6389	52	-176	77	6389	52	-176	77	6389
53	-44	44	6433	53	-44	44	6433	53	-44	44	6433	53	-44	44	6433	53	-44	44	6433	53	-44	44	6433	53	-44	44	6433	53	-44	44	6433	53	-44	44	6433	53	-44	44	6433	53	-44	44	6433	53	-44	44	6433	53	-44	44	6433	53	-44	44	6433	53	-44	44	6433	53	-44	44	6433	53	-44	44	6433	53	-44	44	6433	53	-44	44	6433	53	-44	44	6433	53	-44	44	6433	53	-44	44	6433
54	-37	37	6470	54	-37	37	6470	54	-37	37	6470	54	-37	37	6470	54	-37	37	6470	54	-37	37	6470	54	-37	37	6470	54	-37	37	6470	54	-37	37	6470	54	-37	37	6470	54	-37	37	6470	54	-37	37	6470	54	-37	37	6470	54	-37	37	6470	54	-37	37	6470	54	-37	37	6470	54	-37	37	6470	54	-37	37	6470	54	-37	37	6470	54	-37	37	6470	54	-37	37	6470	54	-37	37	6470
55	-149	50	6520	55	-149	50	6520	55	-149	50	6520	55	-149	50	6520	55	-149	50	6520	55	-149	50	6520	55	-149	50	6520	55	-149	50	6520	55	-149	50	6520	55	-149	50	6520	55	-149	50	6520	55	-149	50	6520	55	-149	50	6520	55	-149	50	6520	55	-149	50	6520	55	-149	50	6520	55	-149	50	6520	55	-149	50	6520	55	-149	50	6520	55	-149	50	6520	55	-149	50	6520	55	-149	50	6520
56	-197	98	6618	56	-197	98	6618	56	-197	98	6618	56	-197	98	6618	56	-197	98	6618	56	-197	98	6618	56	-197	98	6618	56	-197	98	6618	56	-197	98	6618	56	-197	98	6618	56	-197	98	6618	56	-197	98	6618	56	-197	98	6618	56	-197	98	6618	56	-197	98	6618	56	-197	98	6618	56	-197	98	6618	56	-197	98	6618	56	-197	98	6618	56	-197	98	6618	56	-197	98	6618	56	-197	98	6618
57	-46	46	6664	57	-46	46	6664	57	-46	46	6664	57	-46	46	6664	57	-46	46	6664	57	-46	46	6664	57	-46	46	6664	57	-46	46	6664	57	-46	46	6664	57	-46	46	6664	57	-46	46	6664	57	-46	46	6664	57	-46	46	6664	57	-46	46	6664	57	-46	46	6664	57	-46	46	6664	57	-46	46	6664	57	-46	46	6664	57	-46	46	6664	57	-46	46	6664	57	-46	46	6664	57	-46	46	6664
58	-20	20	6684	58	-20	20	6684	58	-20	20	6684	58	-20	20	6684	58	-20	20	6684	58	-20	20	6684	58	-20	20	6684	58	-20	20	6684	58	-20	20	6684	58	-20	20	6684	58	-20	20	6684	58	-20	20	6684	58	-20	20	6684	58	-20	20	6684	58	-20	20	6684	58	-20	20	6684	58	-20	20	6684	58	-20	20	6684	58	-20	20	6684	58	-20	20	6684	58	-20	20	6684	58	-20	20	6684
