Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
94	-35	35	8055	94	-35	35	8055	94	-35	35	8055	94	-35	35	8055	94	-35	35	8055	94	-35	35	8055	94	-35	35	8055	94	-35	35	8055	94	-35	35	8055	94	-35	35	8055	94	-35	35	8055	94	-35	35	8055	94	-35	35	8055
95	-50	50	8105	95	-50	50	8105	95	-50	50	8105	95	-50	50	8105	95	-50	50	8105	95	-50	50	8105	95	-50	50	8105	95	-50	50	8105	95	-50	50	8105	95	-50	50	8105	95	-50	50	8105	95	-50	50	8105	95	-50	50	8105
96	-28	28	8133	96	-28	28	8133	96	-28	28	8133	96	-28	28	8133	96	-28	28	8133	96	-28	28	8133	96	-28	28	8133	96	-28	28	8133	96	-28	28	8133	96	-28	28	8133	96	-28	28	8133	96	-28	28	8133	96	-28	28	8133
97	-25	25	8158	97	-25	25	8158	97	-25	25	8158	97	-25	25	8158	97	-25	25	8158	97	-25	25	8158	97	-25	25	8158	97	-25	25	8158	97	-25	25	8158	97	-25	25	8158	97	-25	25	8158	97	-25	25	8158	97	-25	25	8158
98	-31	31	8189	98	-31	31	8189	98	-31	31	8189	98	-31	31	8189	98	-31	31	8189	98	-31	31	8189	98	-31	31	8189	98	-31	31	8189	98	-31	31	8189	98	-31	31	8189	98	-31	31	8189	98	-31	31	8189	98	-31	31	8189
99	-27	27	8216	99	-27	27	8216	99	-27	27	8216	99	-27	27	8216	99	-27	27	8216	99	-27	27	8216	99	-27	27	8216	99	-27	27	8216	99	-27	27	8216	99	-27	27	8216	99	-27	27	8216	99	-27	27	8216	99	-27	27	8216
100	-50	50	8266	100	-50	50	8266	100	-50	50	8266	100	-50	50	8266	100	-50	50	8266	100	-50	50	8266	100	-50	50	8266	100	-50	50	8266	100	-50	50	8266	100	-50	50	8266	100	-50	50	8266	100	-50	50	8266	100	-50	50	8266
101	-32	32	8298	101	-32	32	8298	101	-32	32	8298	101	-32	32	8298	101	-32	32	8298	101	-32	32	8298	101	-32	32	8298	101	-32	32	8298	101	-32	32	8298	101	-32	32	8298	101	-32	32	8298	101	-32	32	8298	101	-32	32	8298
102	-28	28	8326	102	-28	28	8326	102	-28	28	8326	102	-28	28	8326	102	-28	28	8326	102	-28	28	8326	102	-28	28	8326	102	-28	28	8326	102	-28	28	8326	102	-28	28	8326	102	-28	28	8326	102	-28	28	8326	102	-28	28	8326
103	-21	21	8347	103	-21	21	8347	103	-21	21	8347	103	-21	21	8347	103	-21	21	8347	103	-21	21	8347	103	-21	21	8347	103	-21	21	8347	103	-21	21	8347	103	-21	21	8347	103	-21	21	8347	103	-21	21	8347	103	-21	21	8347
104	-42	42	8389	104	-42	42	8389	104	-42	42	8389	104	-42	42	8389	104	-42	42	8389	104	-42	42	8389	104	-42	42	8389	104	-42	42	8389	104	-42	42	8389	104	-42	42	8389	104	-42	42	8389	104	-42	42	8389	104	-42	42	8389
105	-27	27	8416	105	-27	27	8416	105	-27	27	8416	105	-27	27	8416	105	-27	27	8416	105	-27	27	8416	105	-27	27	8416	105	-27	27	8416	105	-27	27	8416	105	-27	27	8416	105	-27	27	8416	105	-27	27	8416	105	-27	27	8416
106	-32	32	8448	106	-32	32	8448	106	-32	32	8448	106	-32	32	8448	106	-32	32	8448	106	-32	32	8448	106	-32	32	8448	106	-32	32	8448	106	-32	32	8448	106	-32	32	8448	106	-32	32	8448	106	-32	32	8448	106	-32	32	8448
107	-147	48	8496	107	-147	48	8496	107	-147	48	8496	107	-147	48	8496	107	-147	48	8496	107	-147	48	8496	107	-147	48	8496	107	-147	48	8496	107	-147	48	8496	107	-147	48	8496	107	-147	48	8496	107	-147	48	8496	107	-147	48	8496
108	-34	34	8530	108	-34	34	8530	108	-34	34	8530	108	-34	34	8530	108	-34	34	8530	108	-34	34	8530	108	-34	34	8530	108	-34	34	8530	108	-34	34	8530	108	-34	34	8530	108	-34	34	8530	108	-34	34	8530	108	-34	34	8530
109	-29	29	8559	109	-29	29	8559	109	-29	29	8559	109	-29	29	8559	109	-29	29	8559	109	-29	29	8559	109	-29	29	8559	109	-29	29	8559	109	-29	29	8559	109	-29	29	8559	109	-29	29	8559	109	-29	29	8559	109	-29	29	8559
110	-158	59	8618	110	-158	59	8618	110	-158	59	8618	110	-158	59	8618	110	-158	59	8618	110	-158	59	8618	110	-158	59	8618	110	-158	59	8618	110	-158	59	8618	110	-158	59	8618	110	-158	59	8618	110	-158	59	8618	110	-158	59	8618
111	-18	18	8636	111	-18	18	8636	111	-18	18	8636	111	-18	18	8636	111	-18	18	8636	111	-18	18	8636	111	-18	18	8636	111	-18	18	8636	111	-18	18	8636	111	-18	18	8636	111	-18	18	8636	111	-18	18	8636	111	-18	18	8636
112	-58	58	8694	112	-58	58	8694	112	-58	58	8694	112	-58	58	8694	112	-58	58	8694	112	-58	58	8694	112	-58	58	8694	112	-58	58	8694	112	-58	58	8694	112	-58	58	8694	112	-58	58	8694	112	-58	58	8694	112	-58	58	8694
113	-352	55	8749	113	-352	55	8749	113	-352	55	8749	113	-352	55	8749	113	-352	55	8749	113	-352	55	8749	113	-352	55	8749	113	-352	55	8749	113	-352	55	8749	113	-352	55	8749	113	-352	55	8749	113	-352	55	8749	113	-352	55	8749
114	-32	32	8781	114	-32	32	8781	114	-32	32	8781	114	-32	32	8781	114	-32	32	8781	114	-32	32	8781	114	-32	32	8781	114	-32	32	8781	114	-32	32	8781	114	-32	32	8781	114	-32	32	8781	114	-32	32	8781	114	-32	32	8781
115	-19	19	8800	115	-19	19	8800	115	-19	19	8800	115	-19	19	8800	115	-19	19	8800	115	-19	19	8800	115	-19	19	8800	115	-19	19	8800	115	-19	19	8800	115	-19	19	8800	115	-19	19	8800	115	-19	19	8800	115	-19	19	8800
116	-28	28	8828	116	-28	28	8828	116	-28	28	8828	116	-28	28	8828	116	-28	28	8828	116	-28	28	8828	116	-28	28	8828	116	-28	28	8828	116	-28	28	8828	116	-28	28	8828	116	-28	28	8828	116	-28	28	8828	116	-28	28	8828
117	-55	55	8883	117	-55	55	8883	117	-55	55	8883	117	-55	55	8883	117	-55	55	8883	117	-55	55	8883	117	-55	55	8883	117	-55	55	8883	117	-55	55	8883	117	-55	55	8883	117	-55	55	8883	117	-55	55	8883	117	-55	55	8883
118	-136	37	8920	118	-136	37	8920	118	-136	37	8920	118	-136	37	8920	118	-136	37	8920	118	-136	37	8920	118	-136	37	8920	118	-136	37	8920	118	-136	37	8920	118	-136	37	8920	118	-136	37	8920	118	-136	37	8920	118	-136	37	8920
119	-25	25	8945	119	-25	25	8945	119	-25	25	8945	119	-25	25	8945	119	-25	25	8945	119	-25	25	8945	119	-25	25	8945	119	-25	25	8945	119	-25	25	8945	119	-25	25	8945	119	-25	25	8945	119	-25	25	8945	119	-25	25	8945
120	-42	42	8987	120	-42	42	8987	120	-42	42	8987	120	-42	42	8987	120	-42	42	8987	120	-42	42	8987	120	-42	42	8987	120	-42	42	8987	120	-42	42	8987	120	-42	42	8987	120	-42	42	8987	120	-42	42	8987	120	-42	42	8987
121	-15	15	9002	121	-15	15	9002	121	-15	15	9002	121	-15	15	9002	121	-15	15	9002	121	-15	15	9002	121	-15	15	9002	121	-15	15	9002	121	-15	15	9002	121	-15	15	9002	121	-15	15	9002	121	-15	15	9002	121	-15	15	9002
122	-28	28	9030	122	-28	28	9030	122	-28	28	9030	122	-28	28	9030	122	-28	28	9030	122	-28	28	9030	122	-28	28	9030	122	-28	28	9030	122	-28	28	9030	122	-28	28	9030	122	-28	28	9030	122	-28	28	9030	122	-28	28	9030
123	-27	27	9057	123	-27	27	9057	123	-27	27	9057	123	-27	27	9057	123	-27	27	9057	123	-27	27	9057	123	-27	27	9057	123	-27	27	9057	123	-27	27	9057	123	-27	27	9057	123	-27	27	9057	123	-27	27	9057	123	-27	27	9057
124	-144	45	9102	124	-144	45	9102	124	-144	45	9102	124	-144	45	9102	124	-144	45	9102	124	-144	45	9102	124	-144	45	9102	124	-144	45	9102	124	-144	45	9102	124	-144	45	9102	124	-144	45	9102	124	-144	45	9102	124	-144	45	9102
125	-38	38	9140	125	-38	38	9140	125	-38	38	9140	125	-38	38	9140	125	-38	38	9140	125	-38	38	9140	125	-38	38	9140	125	-38	38	9140	125	-38	38	9140	125	-38	38	9140	125	-38	38	9140	125	-38	38	9140	125	-38	38	9140
126	-249	51	9191	126	-249	51	9191	126	-249	51	9191	126	-249	51	9191	126	-249	51	9191	126	-249	51	9191	126	-249	51	9191	126	-249	51	9191	126	-249	51	9191	126	-249	51	9191	126	-249	51	9191	126	-249	51	9191	126	-249	51	9191
127	-32	32	9223	127	-32	32	9223	127	-32	32	9223	127	-32	32	9223	127	-32	32	9223	127	-32	32	9223	127	-32	32	9223	127	-32	32	9223	127	-32	32	9223	127	-32	32	9223	127	-32	32	9223	127	-32	32	9223	127	-32	32	9223
128	-18	18	9241	128	-18	18	9241	128	-18	18	9241	128	-18	18	9241	128	-18	18	9241	128	-18	18	9241	128	-18	18	9241	128	-18	18	9241	128	-18	18	9241	128	-18	18	9241	128	-18	18	9241	128	-18	18	9241	128	-18	18	9241
129	-42	42	9283	129	-42	42	9283	129	-42	42	9283	129	-42	42	9283	129	-42	42	9283	129	-42	42	9283	129	-42	42	9283	129	-42	42	9283	129	-42	42	9283	129	-42	42	9283	129	-42	42	9283	129	-42	42	9283	129	-42	42	9283
130	-29	29	9312	130	-29	29	9312	130	-29	29	9312	130	-29	29	9312	130	-29	29	9312	130	-29	29	9312	130	-29	29	9312	130	-29	29	9312	130	-29	29	9312	130	-29	29	9312	130	-29	29	9312	130	-29	29	9312	130	-29	29	9312
131	-153	54	9366	131	-153	54	9366	131	-153	54	9366	131	-153	54	9366	131	-153	54	9366	131	-153	54	9366	131	-153	54	9366	131	-153	54	9366	131	-153	54	9366	131	-153	54	9366	131	-153	54	9366	131	-153	54	9366	131	-153	54	9366
132	-21	21	9387	132	-21	21	9387	132	-21	21	9387	132	-21	21	9387	132	-21	21	9387	132	-21	21	9387	132	-21	21	9387	132	-21	21	9387	132	-21	21	9387	132	-21	21	9387	132	-21	21	9387	132	-21	21	9387	132	-21	21	9387
133	-161	62	9449	133	-161	62	9449	133	-161	62	9449	133	-161	62	9449	133	-161	62	9449	133	-161	62	9449	133	-161	62	9449	133	-161	62	9449	133	-161	62	9449	133	-161	62	9449	133	-161	62	9449	133	-161	62	9449	133	-161	62	9449
134	-137	38	9487	134	-137	38	9487	134	-137	38	9487	134	-137	38	9487	134	-137	38	9487	134	-137	38	9487	134	-137	38	9487	134	-137	38	9487	134	-137	38	9487	134	-137	38	9487	134	-137	38	9487	134	-137	38	9487	134	-137	38	9487
135	-18	18	9505	135	-18	18	9505	135	-18	18	9505	135	-18	18	9505	135	-18	18	9505	135	-18	18	9505	135	-18	18	9505	135	-18	18	9505	135	-18	18	9505	135	-18	18	9505	135	-18	18	9505	135	-18	18	9505	135	-18	18	9505
136	-22	22	9527	136	-22	22	9527	136	-22	22	9527	136	-22	22	9527	136	-22	22	9527	136	-22	22	9527	136	-22	22	9527	136	-22	22	9527	136	-22	22	9527	136	-22	22	9527	136	-22	22	9527	136	-22	22	9527	136	-22	22	9527
137	-27	27	9554	137	-27	27	9554	137	-27	27	9554	137	-27	27	9554	137	-27	27	9554	137	-27	27	9554	137	-27	27	9554	137	-27	27	9554	137	-27	27	9554	137	-27	27	9554	137	-27	27	9554	137	-27	27	9554	137	-27	27	9554
138	-31	31	9585	138	-31	31	9585	138	-31	31	9585	138	-31	31	9585	138	-31	31	9585	138	-31	31	9585	138	-31	31	9585	138	-31	31	9585	138	-31	31	9585	138	-31	31	9585	138	-31	31	9585	138	-31	31	9585	138	-31	31	9585
139	-21	21	9606	139	-21	21	9606	139	-21	21	9606	139	-21	21	9606	139	-21	21	9606	139	-21	21	9606	139	-21	21	9606	139	-21	21	9606	139	-21	21	9606	139	-21	21	9606	139	-21	21	9606	139	-21	21	9606	139	-21	21	9606
140	-137	38	9644	140	-137	38	9644	140	-137	38	9644	140	-137	38	9644	140	-137	38	9644	140	-137	38	9644	140	-137	38	9644	140	-137	38	9644	140	-137	38	9644	140	-137	38	9644	140	-137	38	9644	140	-137	38	9644	140	-137	38	9644
141	-20	20	9664	141	-20	20	9664	141	-20	20	9664	141	-20	20	9664	141	-20	20	9664	141	-20	20	9664	141	-20	20	9664	141	-20	20	9664	141	-20	20	9664	141	-20	20	9664	141	-20	20	9664	141	-20	20	9664	141	-20	20	9664
142	-40	40	9704	142	-40	40	9704	142	-40	40	9704	142	-40	40	9704	142	-40	40	9704	142	-40	40	9704	142	-40	40	9704	142	-40	40	9704	142	-40	40	9704	142	-40	40	9704	142	-40	40	9704	142	-40	40	9704	142	-40	40	9704
143	-130	31	9735	143	-130	31	9735	143	-130	31	9735	143	-130	31	9735	143	-130	31	9735	143	-130	31	9735	143	-130	31	9735	143	-130	31	9735	143	-130	31	9735	143	-130	31	9735	143	-130	31	9735	143	-130	31	9735	143	-130	31	9735
144	-35	35	9770	144	-35	35	9770	144	-35	35	9770	144	-35	35	9770	144	-35	35	9770	144	-35	35	9770	144	-35	35	9770	144	-35	35	9770	144	-35	35	9770	144	-35	35	9770	144	-35	35	9770	144	-35	35	9770	144	-35	35	9770
145	-19	19	9789	145	-19	19	9789	145	-19	19	9789	145	-19	19	9789	145	-19	19	9789	145	-19	19	9789	145	-19	19	9789	145	-19	19	9789	145	-19	19	9789	145	-19	19	9789	145	-19	19	9789	145	-19	19	9789	145	-19	19	9789
146	-28	28	9817	146	-28	28	9817	146	-28	28	9817	146	-28	28	9817	146	-28	28	9817	146	-28	28	9817	146	-28	28	9817	146	-28	28	9817	146	-28	28	9817	146	-28	28	9817	146	-28	28	9817	146	-28	28	9817	146	-28	28	9817
147	-36	36	9853	147	-36	36	9853	147	-36	36	9853	147	-36	36	9853	147	-36	36	9853	147	-36	36	9853	147	-36	36	9853	147	-36	36	9853	147	-36	36	9853	147	-36	36	9853	147	-36	36	9853	147	-36	36	9853	147	-36	36	9853
148	-30	30	9883	148	-30	30	9883	148	-30	30	9883	148	-30	30	9883	148	-30	30	9883	148	-30	30	9883	148	-30	30	9883	148	-30	30	9883	148	-30	30	9883	148	-30	30	9883	148	-30	30	9883	148	-30	30	9883	148	-30	30	9883
149	-17	17	9900	149	-17	17	9900	149	-17	17	9900	149	-17	17	9900	149	-17	17	9900	149	-17	17	9900	149	-17	17	9900	149	-17	17	9900	149	-17	17	9900	149	-17	17	9900	149	-17	17	9900	149	-17	17	9900	149	-17	17	9900
150	-128	29	9929	150	-128	29	9929	150	-128	29	9929	150	-128	29	9929	150	-128	29	9929	150	-128	29	9929	150	-128	29	9929	150	-128	29	9929	150	-128	29	9929	150	-128	29	9929	150	-128	29	9929	150	-128	29	9929	150	-128	29	9929
151	-29	29	9958	151	-29	29	9958	151	-29	29	9958	151	-29	29	9958	151	-29	29	9958	151	-29	29	9958	151	-29	29	9958	151	-29	29	9958	151	-29	29	9958	151	-29	29	9958	151	-29	29	9958	151	-29	29	9958	151	-29	29	9958
152	-23	23	9981	152	-23	23	9981	152	-23	23	9981	152	-23	23	9981	152	-23	23	9981	152	-23	23	9981	152	-23	23	9981	152	-23	23	9981	152	-23	23	9981	152	-23	23	9981	152	-23	23	9981	152	-23	23	9981	152	-23	23	9981
153	-29	29	10010	153	-29	29	10010	153	-29	29	10010	153	-29	29	10010	153	-29	29	10010	153	-29	29	10010	153	-29	29	10010	153	-29	29	10010	153	-29	29	10010	153	-29	29	10010	153	-29	29	10010	153	-29	29	10010	153	-29	29	10010
154	-250	52	10062	154	-250	52	10062	154	-250	52	10062	154	-250	52	10062	154	-250	52	10062	154	-250	52	10062	154	-250	52	10062	154	-250	52	10062	154	-250	52	10062	154	-250	52	10062	154	-250	52	10062	154	-250	52	10062	154	-250	52	10062
155	-35	35	10097	155	-35	35	10097	155	-35	35	10097	155	-35	35	10097	155	-35	35	10097	155	-35	35	10097	155	-35	35	10097	155	-35	35	10097	155	-35	35	10097	155	-35	35	10097	155	-35	35	10097	155	-35	35	10097	155	-35	35	10097
156	-134	35	10132	156	-134	35	10132	156	-134	35	10132	156	-134	35	10132	156	-134	35	10132	156	-134	35	10132	156	-134	35	10132	156	-134	35	10132	156	-134	35	10132	156	-134	35	10132	156	-134	35	10132	156	-134	35	10132	156	-134	35	10132
157	-17	17	10149	157	-17	17	10149	157	-17	17	10149	157	-17	17	10149	157	-17	17	10149	157	-17	17	10149	157	-17	17	10149	157	-17	17	10149	157	-17	17	10149	157	-17	17	10149	157	-17	17	10149	157	-17	17	10149	157	-17	17	10149
158	-30	30	10179	158	-30	30	10179	158	-30	30	10179	158	-30	30	10179	158	-30	30	10179	158	-30	30	10179	158	-30	30	10179	158	-30	30	10179	158	-30	30	10179	158	-30	30	10179	158	-30	30	10179	158	-30	30	10179	158	-30	30	10179
159	-15	15	10194	159	-15	15	10194	159	-15	15	10194	159	-15	15	10194	159	-15	15	10194	159	-15	15	10194	159	-15	15	10194	159	-15	15	10194	159	-15	15	10194	159	-15	15	10194	159	-15	15	10194	159	-15	15	10194	159	-15	15	10194
160	-39	39	10233	160	-39	39	10233	160	-39	39	10233	160	-39	39	10233	160	-39	39	10233	160	-39	39	10233	160	-39	39	10233	160	-39	39	10233	160	-39	39	10233	160	-39	39	10233	160	-39	39	10233	160	-39	39	10233	160	-39	39	10233
161	-20	20	10253	161	-20	20	10253	161	-20	20	10253	161	-20	20	10253	161	-20	20	10253	161	-20	20	10253	161	-20	20	10253	161	-20	20	10253	161	-20	20	10253	161	-20	20	10253	161	-20	20	10253	161	-20	20	10253	161	-20	20	10253
162	-18	18	10271	162	-18	18	10271	162	-18	18	10271	162	-18	18	10271	162	-18	18	10271	162	-18	18	10271	162	-18	18	10271	162	-18	18	10271	162	-18	18	10271	162	-18	18	10271	162	-18	18	10271	162	-18	18	10271	162	-18	18	10271
163	-23	23	10294	163	-23	23	10294	163	-23	23	10294	163	-23	23	10294	163	-23	23	10294	163	-23	23	10294	163	-23	23	10294	163	-23	23	10294	163	-23	23	10294	163	-23	23	10294	163	-23	23	10294	163	-23	23	10294	163	-23	23	10294
164	-31	31	10325	164	-31	31	10325	164	-31	31	10325	164	-31	31	10325	164	-31	31	10325	164	-31	31	10325	164	-31	31	10325	164	-31	31	10325	164	-31	31	10325	164	-31	31	10325	164	-31	31	10325	164	-31	31	10325	164	-31	31	10325
165	-29	29	10354	165	-29	29	10354	165	-29	29	10354	165	-29	29	10354	165	-29	29	10354	165	-29	29	10354	165	-29	29	10354	165	-29	29	10354	165	-29	29	10354	165	-29	29	10354	165	-29	29	10354	165	-29	29	10354	165	-29	29	10354
166	-20	20	10374	166	-20	20	10374	166	-20	20	10374	166	-20	20	10374	166	-20	20	10374	166	-20	20	10374	166	-20	20	10374	166	-20	20	10374	166	-20	20	10374	166	-20	20	10374	166	-20	20	10374	166	-20	20	10374	166	-20	20	10374
167	-23	23	10397	167	-23	23	10397	167	-23	23	10397	167	-23	23	10397	167	-23	23	10397	167	-23	23	10397	167	-23	23	10397	167	-23	23	10397	167	-23	23	10397	167	-23	23	10397	167	-23	23	10397	167	-23	23	10397	167	-23	23	10397
168	-35	35	10432	168	-35	35	10432	168	-35	35	10432	168	-35	35	10432	168	-35	35	10432	168	-35	35	10432	168	-35	35	10432	168	-35	35	10432	168	-35	35	10432	168	-35	35	10432	168	-35	35	10432	168	-35	35	10432	168	-35	35	10432
169	-254	56	10488	169	-254	56	10488	169	-254	56	10488	169	-254	56	10488	169	-254	56	10488	169	-254	56	10488	169	-254	56	10488	169	-254	56	10488	169	-254	56	10488	169	-254	56	10488	169	-254	56	10488	169	-254	56	10488	169	-254	56	10488
170	-17	17	10505	170	-17	17	10505	170	-17	17	10505	170	-17	17	10505	170	-17	17	10505	170	-17	17	10505	170	-17	17	10505	170	-17	17	10505	170	-17	17	10505	170	-17	17	10505	170	-17	17	10505	170	-17	17	10505	170	-17	17	10505
171	-28	28	10533	171	-28	28	10533	171	-28	28	10533	171	-28	28	10533	171	-28	28	10533	171	-28	28	10533	171	-28	28	10533	171	-28	28	10533	171	-28	28	10533	171	-28	28	10533	171	-28	28	10533	171	-28	28	10533	171	-28	28	10533
172	-13	13	10546	172	-13	13	10546	172	-13	13	10546	172	-13	13	10546	172	-13	13	10546	172	-13	13	10546	172	-13	13	10546	172	-13	13	10546	172	-13	13	10546	172	-13	13	10546	172	-13	13	10546	172	-13	13	10546	172	-13	13	10546
173	-21	21	10567	173	-21	21	10567	173	-21	21	10567	173	-21	21	10567	173	-21	21	10567	173	-21	21	10567	173	-21	21	10567	173	-21	21	10567	173	-21	21	10567	173	-21	21	10567	173	-21	21	10567	173	-21	21	10567	173	-21	21	10567
174	-34	34	10601	174	-34	34	10601	174	-34	34	10601	174	-34	34	10601	174	-34	34	10601	174	-34	34	10601	174	-34	34	10601	174	-34	34	10601	174	-34	34	10601	174	-34	34	10601	174	-34	34	10601	174	-34	34	10601	174	-34	34	10601
175	-17	17	10618	175	-17	17	10618	175	-17	17	10618	175	-17	17	10618	175	-17	17	10618	175	-17	17	10618	175	-17	17	10618	175	-17	17	10618	175	-17	17	10618	175	-17	17	10618	175	-17	17	10618	175	-17	17	10618	175	-17	17	10618
176	-31	31	10649	176	-31	31	10649	176	-31	31	10649	176	-31	31	10649	176	-31	31	10649	176	-31	31	10649	176	-31	31	10649	176	-31	31	10649	176	-31	31	10649	176	-31	31	10649	176	-31	31	10649	176	-31	31	10649	176	-31	31	10649
177	-22	22	10671	177	-22	22	10671	177	-22	22	10671	177	-22	22	10671	177	-22	22	10671	177	-22	22	10671	177	-22	22	10671	177	-22	22	10671	177	-22	22	10671	177	-22	22	10671	177	-22	22	10671	177	-22	22	10671	177	-22	22	10671
178	-19	19	10690	178	-19	19	10690	178	-19	19	10690	178	-19	19	10690	178	-19	19	10690	178	-19	19	10690	178	-19	19	10690	178	-19	19	10690	178	-19	19	10690	178	-19	19	10690	178	-19	19	10690	178	-19	19	10690	178	-19	19	10690
179	-20	20	10710	179	-20	20	10710	179	-20	20	10710	179	-20	20	10710	179	-20	20	10710	179	-20	20	10710	179	-20	20	10710	179	-20	20	10710	179	-20	20	10710	179	-20	20	10710	179	-20	20	10710	179	-20	20	10710	179	-20	20	10710
180	-117	18	10728	180	-117	18	10728	180	-117	18	10728	180	-117	18	10728	180	-117	18	10728	180	-117	18	10728	180	-117	18	10728	180	-117	18	10728	180	-117	18	10728	180	-117	18	10728	180	-117	18	10728	180	-117	18	10728	180	-117	18	10728
181	-25	25	10753	181	-25	25	10753	181	-25	25	10753	181	-25	25	10753	181	-25	25	10753	181	-25	25	10753	181	-25	25	10753	181	-25	25	10753	181	-25	25	10753	181	-25	25	10753	181	-25	25	10753	181	-25	25	10753	181	-25	25	10753
182	-124	25	10778	182	-124	25	10778	182	-124	25	10778	182	-124	25	10778	182	-124	25	10778	182	-124	25	10778	182	-124	25	10778	182	-124	25	10778	182	-124	25	10778	182	-124	25	10778	182	-124	25	10778	182	-124	25	10778	182	-124	25	10778
183	-126	27	10805	183	-126	27	10805	183	-126	27	10805	183	-126	27	10805	183	-126	27	10805	183	-126	27	10805	183	-126	27	10805	183	-126	27	10805	183	-126	27	10805	183	-126	27	10805	183	-126	27	10805	183	-126	27	10805	183	-126	27	10805
184	-260	62	10867	184	-260	62	10867	184	-260	62	10867	184	-260	62	10867	184	-260	62	10867	184	-260	62	10867	184	-260	62	10867	184	-260	62	10867	184	-260	62	10867	184	-260	62	10867	184	-260	62	10867	184	-260	62	10867	184	-260	62	10867
185	-25	25	10892	185	-25	25	10892	185	-25	25	10892	185	-25	25	10892	185	-25	25	10892	185	-25	25	10892	185	-25	25	10892	185	-25	25	10892	185	-25	25	10892	185	-25	25	10892	185	-25	25	10892	185	-25	25	10892	185	-25	25	10892
186	-24	24	10916	186	-24	24	10916	186	-24	24	10916	186	-24	24	10916	186	-24	24	10916	186	-24	24	10916	186	-24	24	10916	186	-24	24	10916	186	-24	24	10916	186	-24	24	10916	186	-24	24	10916	186	-24	24	10916	186	-24	24	10916
187	-24	24	10940	187	-24	24	10940	187	-24	24	10940	187	-24	24	10940	187	-24	24	10940	187	-24	24	10940	187	-24	24	10940	187	-24	24	10940	187	-24	24	10940	187	-24	24	10940	187	-24	24	10940	187	-24	24	10940	187	-24	24	10940
188	-13	13	10953	188	-13	13	10953	188	-13	13	10953	188	-13	13	10953	188	-13	13	10953	188	-13	13	10953	188	-13	13	10953	188	-13	13	10953	188	-13	13	10953	188	-13	13	10953	188	-13	13	10953	188	-13	13	10953	188	-13	13	10953
189	-25	25	10978	189	-25	25	10978	189	-25	25	10978	189	-25	25	10978	189	-25	25	10978	189	-25	25	10978	189	-25	25	10978	189	-25	25	10978	189	-25	25	10978	189	-25	25	10978	189	-25	25	10978	189	-25	25	10978	189	-25	25	10978
190	-24	24	11002	190	-24	24	11002	190	-24	24	11002	190	-24	24	11002	190	-24	24	11002	190	-24	24	11002	190	-24	24	11002	190	-24	24	11002	190	-24	24	11002	190	-24	24	11002	190	-24	24	11002	190	-24	24	11002	190	-24	24	11002
191	-15	15	11017	191	-15	15	11017	191	-15	15	11017	191	-15	15	11017	191	-15	15	11017	191	-15	15	11017	191	-15	15	11017	191	-15	15	11017	191	-15	15	11017	191	-15	15	11017	191	-15	15	11017	191	-15	15	11017	191	-15	15	11017
192	-19	19	11036	192	-19	19	11036	192	-19	19	11036	192	-19	19	11036	192	-19	19	11036	192	-19	19	11036	192	-19	19	11036	192	-19	19	11036	192	-19	19	11036	192	-19	19	11036	192	-19	19	11036	192	-19	19	11036	192	-19	19	11036
193	-40	40	11076	193	-40	40	11076	193	-40	40	11076	193	-40	40	11076	193	-40	40	11076	193	-40	40	11076	193	-40	40	11076	193	-40	40	11076	193	-40	40	11076	193	-40	40	11076	193	-40	40	11076	193	-40	40	11076	193	-40	40	11076
194	-17	17	11093	194	-17	17	11093	194	-17	17	11093	194	-17	17	11093	194	-17	17	11093	194	-17	17	11093	194	-17	17	11093	194	-17	17	11093	194	-17	17	11093	194	-17	17	11093	194	-17	17	11093	194	-17	17	11093	194	-17	17	11093
195	-19	19	11112	195	-19	19	11112	195	-19	19	11112	195	-19	19	11112	195	-19	19	11112	195	-19	19	11112	195	-19	19	11112	195	-19	19	11112	195	-19	19	11112	195	-19	19	11112	195	-19	19	11112	195	-19	19	11112	195	-19	19	11112
196	-31	31	11143	196	-31	31	11143	196	-31	31	11143	196	-31	31	11143	196	-31	31	11143	196	-31	31	11143	196	-31	31	11143	196	-31	31	11143	196	-31	31	11143	196	-31	31	11143	196	-31	31	11143	196	-31	31	11143	196	-31	31	11143
197	-26	26	11169	197	-26	26	11169	197	-26	26	11169	197	-26	26	11169	197	-26	26	11169	197	-26	26	11169	197	-26	26	11169	197	-26	26	11169	197	-26	26	11169	197	-26	26	11169	197	-26	26	11169	197	-26	26	11169	197	-26	26	11169
198	-13	13	11182	198	-13	13	11182	198	-13	13	11182	198	-13	13	11182	198	-13	13	11182	198	-13	13	11182	198	-13	13	11182	198	-13	13	11182	198	-13	13	11182	198	-13	13	11182	198	-13	13	11182	198	-13	13	11182	198	-13	13	11182
