Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
21	-13	13	334	21	-13	13	334	21	-13	13	334	21	-13	13	334	21	-13	13	334	21	-13	13	334	21	-13	13	334	21	-13	13	334	21	-13	13	334	21	-13	13	334	21	-13	13	334	21	-13	13	334	21	-13	13	334	21	-13	13	334	21	-13	13	334	21	-13	13	334	21	-13	13	334	21	-13	13	334	21	-13	13	334	21	-13	13	334
22	-15	15	349	22	-15	15	349	22	-15	15	349	22	-15	15	349	22	-15	15	349	22	-15	15	349	22	-15	15	349	22	-15	15	349	22	-15	15	349	22	-15	15	349	22	-15	15	349	22	-15	15	349	22	-15	15	349	22	-15	15	349	22	-15	15	349	22	-15	15	349	22	-15	15	349	22	-15	15	349	22	-15	15	349	22	-15	15	349
23	-15	15	364	23	-15	15	364	23	-15	15	364	23	-15	15	364	23	-15	15	364	23	-15	15	364	23	-15	15	364	23	-15	15	364	23	-15	15	364	23	-15	15	364	23	-15	15	364	23	-15	15	364	23	-15	15	364	23	-15	15	364	23	-15	15	364	23	-15	15	364	23	-15	15	364	23	-15	15	364	23	-15	15	364	23	-15	15	364
24	-17	17	381	24	-17	17	381	24	-17	17	381	24	-17	17	381	24	-17	17	381	24	-17	17	381	24	-17	17	381	24	-17	17	381	24	-17	17	381	24	-17	17	381	24	-17	17	381	24	-17	17	381	24	-17	17	381	24	-17	17	381	24	-17	17	381	24	-17	17	381	24	-17	17	381	24	-17	17	381	24	-17	17	381	24	-17	17	381
25	-15	15	396	25	-15	15	396	25	-15	15	396	25	-15	15	396	25	-15	15	396	25	-15	15	396	25	-15	15	396	25	-15	15	396	25	-15	15	396	25	-15	15	396	25	-15	15	396	25	-15	15	396	25	-15	15	396	25	-15	15	396	25	-15	15	396	25	-15	15	396	25	-15	15	396	25	-15	15	396	25	-15	15	396	25	-15	15	396
26	-125	26	422	26	-125	26	422	26	-125	26	422	26	-125	26	422	26	-125	26	422	26	-125	26	422	26	-125	26	422	26	-125	26	422	26	-125	26	422	26	-125	26	422	26	-125	26	422	26	-125	26	422	26	-125	26	422	26	-125	26	422	26	-125	26	422	26	-125	26	422	26	-125	26	422	26	-125	26	422	26	-125	26	422	26	-125	26	422
27	-17	17	439	27	-17	17	439	27	-17	17	439	27	-17	17	439	27	-17	17	439	27	-17	17	439	27	-17	17	439	27	-17	17	439	27	-17	17	439	27	-17	17	439	27	-17	17	439	27	-17	17	439	27	-17	17	439	27	-17	17	439	27	-17	17	439	27	-17	17	439	27	-17	17	439	27	-17	17	439	27	-17	17	439	27	-17	17	439
28	-116	17	456	28	-116	17	456	28	-116	17	456	28	-116	17	456	28	-116	17	456	28	-116	17	456	28	-116	17	456	28	-116	17	456	28	-116	17	456	28	-116	17	456	28	-116	17	456	28	-116	17	456	28	-116	17	456	28	-116	17	456	28	-116	17	456	28	-116	17	456	28	-116	17	456	28	-116	17	456	28	-116	17	456	28	-116	17	456
29	-13	13	469	29	-13	13	469	29	-13	13	469	29	-13	13	469	29	-13	13	469	29	-13	13	469	29	-13	13	469	29	-13	13	469	29	-13	13	469	29	-13	13	469	29	-13	13	469	29	-13	13	469	29	-13	13	469	29	-13	13	469	29	-13	13	469	29	-13	13	469	29	-13	13	469	29	-13	13	469	29	-13	13	469	29	-13	13	469
30	-13	13	482	30	-13	13	482	30	-13	13	482	30	-13	13	482	30	-13	13	482	30	-13	13	482	30	-13	13	482	30	-13	13	482	30	-13	13	482	30	-13	13	482	30	-13	13	482	30	-13	13	482	30	-13	13	482	30	-13	13	482	30	-13	13	482	30	-13	13	482	30	-13	13	482	30	-13	13	482	30	-13	13	482	30	-13	13	482
31	-119	20	502	31	-119	20	502	31	-119	20	502	31	-119	20	502	31	-119	20	502	31	-119	20	502	31	-119	20	502	31	-119	20	502	31	-119	20	502	31	-119	20	502	31	-119	20	502	31	-119	20	502	31	-119	20	502	31	-119	20	502	31	-119	20	502	31	-119	20	502	31	-119	20	502	31	-119	20	502	31	-119	20	502	31	-119	20	502
32	-13	13	515	32	-13	13	515	32	-13	13	515	32	-13	13	515	32	-13	13	515	32	-13	13	515	32	-13	13	515	32	-13	13	515	32	-13	13	515	32	-13	13	515	32	-13	13	515	32	-13	13	515	32	-13	13	515	32	-13	13	515	32	-13	13	515	32	-13	13	515	32	-13	13	515	32	-13	13	515	32	-13	13	515	32	-13	13	515
33	-123	24	539	33	-123	24	539	33	-123	24	539	33	-123	24	539	33	-123	24	539	33	-123	24	539	33	-123	24	539	33	-123	24	539	33	-123	24	539	33	-123	24	539	33	-123	24	539	33	-123	24	539	33	-123	24	539	33	-123	24	539	33	-123	24	539	33	-123	24	539	33	-123	24	539	33	-123	24	539	33	-123	24	539	33	-123	24	539
34	-13	13	552	34	-13	13	552	34	-13	13	552	34	-13	13	552	34	-13	13	552	34	-13	13	552	34	-13	13	552	34	-13	13	552	34	-13	13	552	34	-13	13	552	34	-13	13	552	34	-13	13	552	34	-13	13	552	34	-13	13	552	34	-13	13	552	34	-13	13	552	34	-13	13	552	34	-13	13	552	34	-13	13	552	34	-13	13	552
35	-15	15	567	35	-15	15	567	35	-15	15	567	35	-15	15	567	35	-15	15	567	35	-15	15	567	35	-15	15	567	35	-15	15	567	35	-15	15	567	35	-15	15	567	35	-15	15	567	35	-15	15	567	35	-15	15	567	35	-15	15	567	35	-15	15	567	35	-15	15	567	35	-15	15	567	35	-15	15	567	35	-15	15	567	35	-15	15	567
36	-15	15	582	36	-15	15	582	36	-15	15	582	36	-15	15	582	36	-15	15	582	36	-15	15	582	36	-15	15	582	36	-15	15	582	36	-15	15	582	36	-15	15	582	36	-15	15	582	36	-15	15	582	36	-15	15	582	36	-15	15	582	36	-15	15	582	36	-15	15	582	36	-15	15	582	36	-15	15	582	36	-15	15	582	36	-15	15	582
37	-13	13	595	37	-13	13	595	37	-13	13	595	37	-13	13	595	37	-13	13	595	37	-13	13	595	37	-13	13	595	37	-13	13	595	37	-13	13	595	37	-13	13	595	37	-13	13	595	37	-13	13	595	37	-13	13	595	37	-13	13	595	37	-13	13	595	37	-13	13	595	37	-13	13	595	37	-13	13	595	37	-13	13	595	37	-13	13	595
38	-13	13	608	38	-13	13	608	38	-13	13	608	38	-13	13	608	38	-13	13	608	38	-13	13	608	38	-13	13	608	38	-13	13	608	38	-13	13	608	38	-13	13	608	38	-13	13	608	38	-13	13	608	38	-13	13	608	38	-13	13	608	38	-13	13	608	38	-13	13	608	38	-13	13	608	38	-13	13	608	38	-13	13	608	38	-13	13	608
39	-333	36	644	39	-333	36	644	39	-333	36	644	39	-333	36	644	39	-333	36	644	39	-333	36	644	39	-333	36	644	39	-333	36	644	39	-333	36	644	39	-333	36	644	39	-333	36	644	39	-333	36	644	39	-333	36	644	39	-333	36	644	39	-333	36	644	39	-333	36	644	39	-333	36	644	39	-333	36	644	39	-333	36	644	39	-333	36	644
40	-14	14	658	40	-14	14	658	40	-14	14	658	40	-14	14	658	40	-14	14	658	40	-14	14	658	40	-14	14	658	40	-14	14	658	40	-14	14	658	40	-14	14	658	40	-14	14	658	40	-14	14	658	40	-14	14	658	40	-14	14	658	40	-14	14	658	40	-14	14	658	40	-14	14	658	40	-14	14	658	40	-14	14	658	40	-14	14	658
41	-15	15	673	41	-15	15	673	41	-15	15	673	41	-15	15	673	41	-15	15	673	41	-15	15	673	41	-15	15	673	41	-15	15	673	41	-15	15	673	41	-15	15	673	41	-15	15	673	41	-15	15	673	41	-15	15	673	41	-15	15	673	41	-15	15	673	41	-15	15	673	41	-15	15	673	41	-15	15	673	41	-15	15	673	41	-15	15	673
42	-13	13	686	42	-13	13	686	42	-13	13	686	42	-13	13	686	42	-13	13	686	42	-13	13	686	42	-13	13	686	42	-13	13	686	42	-13	13	686	42	-13	13	686	42	-13	13	686	42	-13	13	686	42	-13	13	686	42	-13	13	686	42	-13	13	686	42	-13	13	686	42	-13	13	686	42	-13	13	686	42	-13	13	686	42	-13	13	686
43	-15	15	701	43	-15	15	701	43	-15	15	701	43	-15	15	701	43	-15	15	701	43	-15	15	701	43	-15	15	701	43	-15	15	701	43	-15	15	701	43	-15	15	701	43	-15	15	701	43	-15	15	701	43	-15	15	701	43	-15	15	701	43	-15	15	701	43	-15	15	701	43	-15	15	701	43	-15	15	701	43	-15	15	701	43	-15	15	701
44	-21	21	722	44	-21	21	722	44	-21	21	722	44	-21	21	722	44	-21	21	722	44	-21	21	722	44	-21	21	722	44	-21	21	722	44	-21	21	722	44	-21	21	722	44	-21	21	722	44	-21	21	722	44	-21	21	722	44	-21	21	722	44	-21	21	722	44	-21	21	722	44	-21	21	722	44	-21	21	722	44	-21	21	722	44	-21	21	722
45	-332	35	757	45	-332	35	757	45	-332	35	757	45	-332	35	757	45	-332	35	757	45	-332	35	757	45	-332	35	757	45	-332	35	757	45	-332	35	757	45	-332	35	757	45	-332	35	757	45	-332	35	757	45	-332	35	757	45	-332	35	757	45	-332	35	757	45	-332	35	757	45	-332	35	757	45	-332	35	757	45	-332	35	757	45	-332	35	757
46	-13	13	770	46	-13	13	770	46	-13	13	770	46	-13	13	770	46	-13	13	770	46	-13	13	770	46	-13	13	770	46	-13	13	770	46	-13	13	770	46	-13	13	770	46	-13	13	770	46	-13	13	770	46	-13	13	770	46	-13	13	770	46	-13	13	770	46	-13	13	770	46	-13	13	770	46	-13	13	770	46	-13	13	770	46	-13	13	770
47	-15	15	785	47	-15	15	785	47	-15	15	785	47	-15	15	785	47	-15	15	785	47	-15	15	785	47	-15	15	785	47	-15	15	785	47	-15	15	785	47	-15	15	785	47	-15	15	785	47	-15	15	785	47	-15	15	785	47	-15	15	785	47	-15	15	785	47	-15	15	785	47	-15	15	785	47	-15	15	785	47	-15	15	785	47	-15	15	785
48	-13	13	798	48	-13	13	798	48	-13	13	798	48	-13	13	798	48	-13	13	798	48	-13	13	798	48	-13	13	798	48	-13	13	798	48	-13	13	798	48	-13	13	798	48	-13	13	798	48	-13	13	798	48	-13	13	798	48	-13	13	798	48	-13	13	798	48	-13	13	798	48	-13	13	798	48	-13	13	798	48	-13	13	798	48	-13	13	798
49	-15	15	813	49	-15	15	813	49	-15	15	813	49	-15	15	813	49	-15	15	813	49	-15	15	813	49	-15	15	813	49	-15	15	813	49	-15	15	813	49	-15	15	813	49	-15	15	813	49	-15	15	813	49	-15	15	813	49	-15	15	813	49	-15	15	813	49	-15	15	813	49	-15	15	813	49	-15	15	813	49	-15	15	813	49	-15	15	813
50	-23	23	836	50	-23	23	836	50	-23	23	836	50	-23	23	836	50	-23	23	836	50	-23	23	836	50	-23	23	836	50	-23	23	836	50	-23	23	836	50	-23	23	836	50	-23	23	836	50	-23	23	836	50	-23	23	836	50	-23	23	836	50	-23	23	836	50	-23	23	836	50	-23	23	836	50	-23	23	836	50	-23	23	836	50	-23	23	836
51	-17	17	853	51	-17	17	853	51	-17	17	853	51	-17	17	853	51	-17	17	853	51	-17	17	853	51	-17	17	853	51	-17	17	853	51	-17	17	853	51	-17	17	853	51	-17	17	853	51	-17	17	853	51	-17	17	853	51	-17	17	853	51	-17	17	853	51	-17	17	853	51	-17	17	853	51	-17	17	853	51	-17	17	853	51	-17	17	853
52	-18	18	871	52	-18	18	871	52	-18	18	871	52	-18	18	871	52	-18	18	871	52	-18	18	871	52	-18	18	871	52	-18	18	871	52	-18	18	871	52	-18	18	871	52	-18	18	871	52	-18	18	871	52	-18	18	871	52	-18	18	871	52	-18	18	871	52	-18	18	871	52	-18	18	871	52	-18	18	871	52	-18	18	871	52	-18	18	871
53	-13	13	884	53	-13	13	884	53	-13	13	884	53	-13	13	884	53	-13	13	884	53	-13	13	884	53	-13	13	884	53	-13	13	884	53	-13	13	884	53	-13	13	884	53	-13	13	884	53	-13	13	884	53	-13	13	884	53	-13	13	884	53	-13	13	884	53	-13	13	884	53	-13	13	884	53	-13	13	884	53	-13	13	884	53	-13	13	884
54	-13	13	897	54	-13	13	897	54	-13	13	897	54	-13	13	897	54	-13	13	897	54	-13	13	897	54	-13	13	897	54	-13	13	897	54	-13	13	897	54	-13	13	897	54	-13	13	897	54	-13	13	897	54	-13	13	897	54	-13	13	897	54	-13	13	897	54	-13	13	897	54	-13	13	897	54	-13	13	897	54	-13	13	897	54	-13	13	897
55	-13	13	910	55	-13	13	910	55	-13	13	910	55	-13	13	910	55	-13	13	910	55	-13	13	910	55	-13	13	910	55	-13	13	910	55	-13	13	910	55	-13	13	910	55	-13	13	910	55	-13	13	910	55	-13	13	910	55	-13	13	910	55	-13	13	910	55	-13	13	910	55	-13	13	910	55	-13	13	910	55	-13	13	910	55	-13	13	910
56	-13	13	923	56	-13	13	923	56	-13	13	923	56	-13	13	923	56	-13	13	923	56	-13	13	923	56	-13	13	923	56	-13	13	923	56	-13	13	923	56	-13	13	923	56	-13	13	923	56	-13	13	923	56	-13	13	923	56	-13	13	923	56	-13	13	923	56	-13	13	923	56	-13	13	923	56	-13	13	923	56	-13	13	923	56	-13	13	923
57	-118	19	942	57	-118	19	942	57	-118	19	942	57	-118	19	942	57	-118	19	942	57	-118	19	942	57	-118	19	942	57	-118	19	942	57	-118	19	942	57	-118	19	942	57	-118	19	942	57	-118	19	942	57	-118	19	942	57	-118	19	942	57	-118	19	942	57	-118	19	942	57	-118	19	942	57	-118	19	942	57	-118	19	942	57	-118	19	942
58	-123	24	966	58	-123	24	966	58	-123	24	966	58	-123	24	966	58	-123	24	966	58	-123	24	966	58	-123	24	966	58	-123	24	966	58	-123	24	966	58	-123	24	966	58	-123	24	966	58	-123	24	966	58	-123	24	966	58	-123	24	966	58	-123	24	966	58	-123	24	966	58	-123	24	966	58	-123	24	966	58	-123	24	966	58	-123	24	966
59	-16	16	982	59	-16	16	982	59	-16	16	982	59	-16	16	982	59	-16	16	982	59	-16	16	982	59	-16	16	982	59	-16	16	982	59	-16	16	982	59	-16	16	982	59	-16	16	982	59	-16	16	982	59	-16	16	982	59	-16	16	982	59	-16	16	982	59	-16	16	982	59	-16	16	982	59	-16	16	982	59	-16	16	982	59	-16	16	982
60	-13	13	995	60	-13	13	995	60	-13	13	995	60	-13	13	995	60	-13	13	995	60	-13	13	995	60	-13	13	995	60	-13	13	995	60	-13	13	995	60	-13	13	995	60	-13	13	995	60	-13	13	995	60	-13	13	995	60	-13	13	995	60	-13	13	995	60	-13	13	995	60	-13	13	995	60	-13	13	995	60	-13	13	995	60	-13	13	995
61	-13	13	1008	61	-13	13	1008	61	-13	13	1008	61	-13	13	1008	61	-13	13	1008	61	-13	13	1008	61	-13	13	1008	61	-13	13	1008	61	-13	13	1008	61	-13	13	1008	61	-13	13	1008	61	-13	13	1008	61	-13	13	1008	61	-13	13	1008	61	-13	13	1008	61	-13	13	1008	61	-13	13	1008	61	-13	13	1008	61	-13	13	1008	61	-13	13	1008
62	-117	18	1026	62	-117	18	1026	62	-117	18	1026	62	-117	18	1026	62	-117	18	1026	62	-117	18	1026	62	-117	18	1026	62	-117	18	1026	62	-117	18	1026	62	-117	18	1026	62	-117	18	1026	62	-117	18	1026	62	-117	18	1026	62	-117	18	1026	62	-117	18	1026	62	-117	18	1026	62	-117	18	1026	62	-117	18	1026	62	-117	18	1026	62	-117	18	1026
63	-118	19	1045	63	-118	19	1045	63	-118	19	1045	63	-118	19	1045	63	-118	19	1045	63	-118	19	1045	63	-118	19	1045	63	-118	19	1045	63	-118	19	1045	63	-118	19	1045	63	-118	19	1045	63	-118	19	1045	63	-118	19	1045	63	-118	19	1045	63	-118	19	1045	63	-118	19	1045	63	-118	19	1045	63	-118	19	1045	63	-118	19	1045	63	-118	19	1045
64	-15	15	1060	64	-15	15	1060	64	-15	15	1060	64	-15	15	1060	64	-15	15	1060	64	-15	15	1060	64	-15	15	1060	64	-15	15	1060	64	-15	15	1060	64	-15	15	1060	64	-15	15	1060	64	-15	15	1060	64	-15	15	1060	64	-15	15	1060	64	-15	15	1060	64	-15	15	1060	64	-15	15	1060	64	-15	15	1060	64	-15	15	1060	64	-15	15	1060
65	-221	23	1083	65	-221	23	1083	65	-221	23	1083	65	-221	23	1083	65	-221	23	1083	65	-221	23	1083	65	-221	23	1083	65	-221	23	1083	65	-221	23	1083	65	-221	23	1083	65	-221	23	1083	65	-221	23	1083	65	-221	23	1083	65	-221	23	1083	65	-221	23	1083	65	-221	23	1083	65	-221	23	1083	65	-221	23	1083	65	-221	23	1083	65	-221	23	1083
66	-121	22	1105	66	-121	22	1105	66	-121	22	1105	66	-121	22	1105	66	-121	22	1105	66	-121	22	1105	66	-121	22	1105	66	-121	22	1105	66	-121	22	1105	66	-121	22	1105	66	-121	22	1105	66	-121	22	1105	66	-121	22	1105	66	-121	22	1105	66	-121	22	1105	66	-121	22	1105	66	-121	22	1105	66	-121	22	1105	66	-121	22	1105	66	-121	22	1105
67	-15	15	1120	67	-15	15	1120	67	-15	15	1120	67	-15	15	1120	67	-15	15	1120	67	-15	15	1120	67	-15	15	1120	67	-15	15	1120	67	-15	15	1120	67	-15	15	1120	67	-15	15	1120	67	-15	15	1120	67	-15	15	1120	67	-15	15	1120	67	-15	15	1120	67	-15	15	1120	67	-15	15	1120	67	-15	15	1120	67	-15	15	1120	67	-15	15	1120
68	-13	13	1133	68	-13	13	1133	68	-13	13	1133	68	-13	13	1133	68	-13	13	1133	68	-13	13	1133	68	-13	13	1133	68	-13	13	1133	68	-13	13	1133	68	-13	13	1133	68	-13	13	1133	68	-13	13	1133	68	-13	13	1133	68	-13	13	1133	68	-13	13	1133	68	-13	13	1133	68	-13	13	1133	68	-13	13	1133	68	-13	13	1133	68	-13	13	1133
69	-15	15	1148	69	-15	15	1148	69	-15	15	1148	69	-15	15	1148	69	-15	15	1148	69	-15	15	1148	69	-15	15	1148	69	-15	15	1148	69	-15	15	1148	69	-15	15	1148	69	-15	15	1148	69	-15	15	1148	69	-15	15	1148	69	-15	15	1148	69	-15	15	1148	69	-15	15	1148	69	-15	15	1148	69	-15	15	1148	69	-15	15	1148	69	-15	15	1148
70	-15	15	1163	70	-15	15	1163	70	-15	15	1163	70	-15	15	1163	70	-15	15	1163	70	-15	15	1163	70	-15	15	1163	70	-15	15	1163	70	-15	15	1163	70	-15	15	1163	70	-15	15	1163	70	-15	15	1163	70	-15	15	1163	70	-15	15	1163	70	-15	15	1163	70	-15	15	1163	70	-15	15	1163	70	-15	15	1163	70	-15	15	1163	70	-15	15	1163
71	-122	23	1186	71	-122	23	1186	71	-122	23	1186	71	-122	23	1186	71	-122	23	1186	71	-122	23	1186	71	-122	23	1186	71	-122	23	1186	71	-122	23	1186	71	-122	23	1186	71	-122	23	1186	71	-122	23	1186	71	-122	23	1186	71	-122	23	1186	71	-122	23	1186	71	-122	23	1186	71	-122	23	1186	71	-122	23	1186	71	-122	23	1186	71	-122	23	1186
